# X(Mpch)    Y(Mpch)   Z(Mpch)   Vx(kms-1)   Vy(kms-1)   Vz(kms-1)   Rvir(kpch)   Vcirc(kms-1)  Xoff        Nhalo    Distinct/Sub
  28.6392    34.6127   4.6573    -231.84     71.3        182.59      619.44       450.5         0.1063      512      0     
  24.4516    36.0821   6.8333    -14.02      116.11      225.31      833.82       564.7         0.053875    2212     0     
  26.5482    14.0861   5.8319    -63.29      6.29        255.83      936.07       663.1         0.019045    3102     0     
  39.96      48.8251   5.7904    -62.71      -2.55       61.24       521.31       350.2         0.08109     3714     0     
  37.2153    11.9953   1.6528    -84.92      239.79      -53.48      409.55       326.5         0.0043498   4168     0     
  37.6966    25.2757   5.9321    -86.47      91.24       87.0        593.98       497.9         0.011718    8060     0     
  26.5957    10.0288   7.36      -203.49     147.81      -1.54       596.57       432.6         0.1104      10140    0     
  10.981     23.0943   13.2289   55.03       20.32       573.99      492.6        324.7         0.2173      10245    0     
  8.9197     1.545     7.8102    34.04       -255.0      175.29      475.02       326.1         0.101       10821    0     
  43.2942    34.357    8.6077    138.78      183.55      30.25       793.58       588.5         0.1211      11034    0     
  20.5697    44.7852   11.256    140.57      201.95      310.36      723.39       458.7         0.1043      11111    0     
  47.7558    40.8911   9.7545    38.57       -249.18     154.9       671.43       483.1         0.1025      12250    0     
  22.0459    33.7242   9.1829    -9.83       291.4       32.88       455.33       351.4         0.035606    14432    0     
  44.9387    11.9656   12.8109   -231.97     216.28      155.5       445.37       323.9         0.058852    14996    0     
  33.4942    2.8599    8.3171    -239.74     155.23      -119.62     432.84       340.3         0.056204    15296    0     
  6.6247     30.216    14.5808   -0.36       -72.79      234.84      864.68       640.8         0.030628    15951    0     
  10.4808    13.9382   12.9767   14.42       132.62      156.59      723.64       503.1         0.0096092   16538    0     
  38.2825    9.8525    11.4166   -69.29      319.44      -112.24     501.34       369.1         0.024479    17226    0     
  13.2328    18.2747   13.8981   -84.91      103.35      158.06      577.02       416.9         0.046769    17706    0     
  17.7137    47.305    10.7353   23.51       -75.74      -117.16     583.09       355.1         0.1164      18261    0     
  43.7194    41.8547   13.9491   107.48      -96.32      5.93        410.74       335.0         0.041862    18263    0     
  25.9487    15.0952   7.6108    -267.24     -234.11     -222.33     661.37       480.8         0.019641    18469    0     
  9.4625     26.122    14.2475   -46.31      -9.23       211.15      459.28       364.3         0.059552    19758    0     
  16.104     49.897    10.065    -200.41     298.17      -83.24      425.86       306.2         0.021349    19944    0     
  43.3141    11.5192   12.8051   -136.86     369.65      190.96      471.31       301.7         0.044993    20445    0     
  48.0167    13.2136   13.3783   -291.4      361.41      42.61       631.06       469.9         0.039988    20880    0     
  49.2241    38.4698   12.8139   69.52       -47.33      -457.14     428.3        345.9         0.07154     21944    0     
  46.3471    41.0207   11.8082   183.6       -185.38     15.86       600.18       396.2         0.1539      21968    0     
  6.3665     22.8889   16.3236   421.45      333.52      160.31      415.4        331.1         0.046191    22190    0     
  16.8381    16.1822   11.9328   80.46       138.73      45.13       501.11       389.2         0.05657     22567    0     
  11.3532    19.7229   14.3473   -332.51     -42.3       -152.42     341.26       339.2         0.066457    24180    0     
  44.8396    21.5128   14.501    85.17       93.06       -74.85      459.5        336.7         0.060995    24990    0     
  35.1282    18.3657   13.7215   -101.97     83.58       -202.33     455.86       354.8         0.027343    25854    0     
  35.92      12.8929   11.8934   -66.55      245.84      -352.7      394.72       304.9         0.056195    26193    0     
  3.6963     29.1822   15.83     62.93       -31.73      98.85       454.48       364.4         0.035348    26851    0     
  24.168     3.9486    10.4529   -190.25     186.92      -315.81     718.46       579.3         0.021157    27911    0     
  34.3383    1.2609    14.1175   -193.95     193.71      -304.44     365.36       301.2         0.018021    28312    0     
  3.806      27.2359   19.2211   73.51       408.84      -67.35      439.28       330.8         0.1253      28931    0     
  43.0514    3.2106    13.5839   -103.37     314.97      -163.73     515.94       425.7         0.01746     29183    0     
  12.5932    1.4775    11.3692   -150.33     50.48       -337.53     421.85       332.5         0.014058    29588    0     
  4.9668     48.2437   17.3118   -42.2       252.63      -15.8       378.1        305.1         0.015261    29968    0     
  42.6369    15.8168   16.4597   -89.88      143.0       109.14      508.59       325.7         0.1268      30585    0     
  10.5858    19.9693   14.7447   70.74       320.97      -163.15     558.65       399.4         0.04525     30591    0     
  8.0699     22.7253   17.2448   187.38      342.63      -102.44     687.77       494.1         0.048864    31099    0     
  37.4214    42.2377   17.2336   -626.39     -8.19       96.35       374.48       300.8         0.040954    31316    0     
  29.252     21.8001   19.7318   -65.21      153.36      -108.98     692.09       517.8         0.045081    36502    0     
  15.8145    25.2604   23.9532   -271.96     135.92      -182.74     892.96       692.8         0.025133    37453    0     
  33.6384    13.8009   21.1213   19.66       290.18      -222.14     465.92       378.3         0.0088607   39883    0     
  41.4706    14.5237   22.4624   5.47        231.17      -236.69     685.71       472.5         0.08099     41203    0     
  37.7818    40.0591   19.2897   -79.7       390.99      -312.36     469.38       329.9         0.097416    41351    0     
  9.4349     10.2465   20.5226   -122.84     80.15       -270.2      472.16       410.0         0.057638    43181    0     
  12.1823    25.7351   23.1702   -429.28     202.08      -158.65     349.26       304.2         0.019845    43670    0     
  4.5123     28.0856   22.5341   264.01      224.56      -122.41     703.23       497.2         0.1122      45798    0     
  37.4004    45.2531   22.0218   -136.29     -116.17     -293.41     403.44       302.8         0.046267    46877    0     
  10.4781    25.7284   22.8497   61.68       240.1       -229.48     902.15       625.4         0.048962    48009    0     
  41.5466    13.4999   25.0346   -67.87      401.51      -386.91     466.81       335.6         0.093677    49104    0     
  31.3463    26.5624   24.9342   -105.28     74.72       -185.71     459.71       350.2         0.054279    51891    0     
  43.807     46.5696   31.659    -129.18     111.35      34.41       418.13       314.9         0.056155    52075    0     
  43.3243    11.5592   27.2107   -166.87     374.73      -243.6      406.19       300.6         0.060736    53035    0     
  31.2333    32.0891   27.2      53.61       22.57       -295.4      376.92       310.7         0.021374    54719    0     
  15.284     27.0402   29.968    -393.24     98.66       -198.98     559.22       423.3         0.042993    59435    0     
  6.9161     32.0071   29.57     82.31       93.18       -249.74     390.07       308.4         0.039665    59480    0     
  45.4952    46.8341   36.7518   -195.19     492.48      162.23      598.02       440.6         0.026765    60401    0     
  13.8166    27.0072   32.833    -188.4      317.3       -84.04      464.88       359.3         0.021363    61479    0     
  36.7293    13.3396   31.7125   6.27        201.28      -272.05     405.49       307.4         0.047605    62240    0     
  46.0469    12.3392   34.9439   0.13        13.13       -250.04     685.73       482.0         0.079035    64375    0     
  33.6968    31.8368   34.6315   -33.08      183.45      -293.71     379.32       318.2         0.022485    64948    0     
  46.2318    11.6293   36.0856   -392.79     114.81      -200.33     523.22       386.2         0.034937    65654    0     
  46.4726    8.9062    39.4066   -89.71      42.21       -30.15      538.45       397.0         0.033616    66900    0     
  15.4621    40.7657   34.9518   -10.6       -185.73     -462.87     575.36       368.5         0.081847    68017    0     
  13.4943    26.7355   33.4559   -191.71     372.29      -645.78     287.98       324.0         0.074255    68667    0     
  35.8783    9.573     40.4789   143.7       135.95      -37.92      579.13       442.2         0.019977    69653    0     
  32.0618    47.3506   38.4554   233.8       240.07      -256.82     454.87       341.6         0.014984    71126    0     
  45.938     49.2084   40.7851   -262.15     -350.86     -377.86     58.768       385.3         0.045817    71934    0     
  46.3772    6.2521    41.7758   -153.1      14.39       29.72       926.05       641.2         0.045846    73900    0     
  13.902     25.6226   36.9422   119.99      77.4        -305.88     631.1        496.7         0.045178    74414    0     
  10.4981    32.6663   33.9735   56.5        209.29      -415.62     842.3        642.3         0.033089    74500    0     
  6.8338     34.4682   33.2442   275.97      -61.6       -407.39     632.01       462.2         0.044161    74534    0     
  45.9562    6.1334    43.1906   -95.33      518.96      -430.21     440.08       372.8         0.092487    74631    0     
  42.3406    44.9886   39.4266   -89.71      884.58      -151.44     555.4        395.2         0.1585      76832    0     
  16.7041    45.1717   37.5606   -109.94     96.01       -540.81     508.76       404.5         0.019891    77683    0     
  39.5775    6.4593    43.9253   111.99      159.67      -95.58      602.86       458.9         0.0083861   77779    0     
  34.2516    47.7505   39.1392   177.02      371.22      -380.04     414.37       313.8         0.090343    78460    0     
  14.7601    23.9717   39.5355   -164.04     314.47      -545.46     860.87       631.5         0.014458    79127    0     
  30.3586    16.2172   42.2052   5.33        397.28      -418.62     471.85       339.0         0.018196    79849    0     
  36.5163    17.5082   48.4011   18.99       -26.84      -219.68     738.91       531.3         0.051565    81107    0     
  16.025     48.4858   40.1096   141.46      192.7       -564.72     465.05       346.8         0.1031      81376    0     
  4.4403     10.9899   45.548    -251.59     258.76      -141.71     378.02       306.3         0.019457    81448    0     
  43.3498    4.1636    45.8945   -43.04      27.8        -212.62     732.69       523.8         0.049087    82646    0     
  41.7857    5.0927    46.5898   308.17      -109.68     -297.68     528.54       357.9         0.082134    84768    0     
  38.2506    32.6455   45.3137   83.69       242.83      -550.79     643.72       462.0         0.038696    86997    0     
  42.8646    2.2689    48.5879   307.47      52.08       -267.2      526.39       401.9         0.037304    88182    0     
  3.3374     15.4487   47.5309   -110.03     19.06       -309.8      421.16       351.2         0.014755    89262    0     
  37.4998    13.9147   48.7852   30.94       644.15      -191.51     507.31       355.3         0.048534    91534    0     
  26.9408    34.5247   0.6546    -361.38     -109.51     738.41      431.83       304.2         0.079013    92320    0     
  36.7029    39.2446   2.2126    48.41       74.03       381.26      369.64       302.8         0.038118    92843    0     
  26.4285    34.9917   5.0676    -57.48      53.0        318.13      442.87       335.2         0.052401    94724    0     
  27.8478    14.3693   2.4748    -45.85      -195.28     365.37      487.36       413.0         0.023617    95157    0     
  11.8585    49.2597   4.9837    -71.0       292.32      370.71      429.69       331.3         0.031885    95368    0     
  11.0977    39.928    4.4777    101.52      238.71      192.47      467.21       389.9         0.010758    96720    0     
  87.4       24.7867   1.1212    -291.58     67.24       -64.41      390.9        339.5         0.060909    97563    0     
  86.4176    24.8866   1.0441    278.86      375.4       -108.23     599.84       427.9         0.061345    98453    0     
  80.4547    40.3621   3.2993    -60.11      -102.1      -50.42      788.31       594.4         0.025472    98865    0     
  96.8351    13.4272   1.2476    205.43      688.53      -48.67      441.92       326.7         0.1138      99311    0     
  50.2       18.169    0.7437    -236.13     398.45      -103.82     651.11       484.7         0.053855    99360    0     
  76.3331    38.3773   2.8638    -107.53     -52.52      -10.37      475.58       319.8         0.1348      100147   0     
  57.25      21.5409   4.4881    -274.03     513.37      242.82      489.65       335.1         0.1087      100378   0     
  69.5607    34.4763   2.1578    -449.01     255.57      192.2       502.61       375.6         0.031209    100869   0     
  96.9611    40.8717   5.3881    149.22      -0.17       220.35      464.06       336.4         0.025478    100891   0     
  67.2007    38.1173   4.4073    -597.12     -398.42     -103.05     631.94       453.9         0.094379    100914   0     
  58.556     37.9955   5.4129    677.55      -934.14     -401.35     324.63       576.4         0.1041      102059   0     
  60.069     41.3826   4.8244    216.47      -729.41     55.78       441.44       349.8         0.024104    102433   0     
  87.9915    45.6999   4.9569    -124.58     -399.07     -110.29     395.78       310.3         0.030493    103894   0     
  61.0604    42.634    4.351     -220.53     -930.88     -12.93      591.1        431.5         0.1226      104300   0     
  51.7778    39.8528   7.2748    243.24      -240.07     124.65      513.46       388.8         0.048283    105010   0     
  98.2496    21.5733   6.758     508.34      548.92      130.06      434.52       320.6         0.029335    106274   0     
  89.0312    39.9155   7.9497    195.52      217.79      -76.05      397.67       318.1         0.012109    108323   0     
  73.056     5.5142    8.2733    -97.95      313.48      93.5        385.36       303.6         0.035691    108453   0     
  83.7641    43.8857   5.9953    -65.14      -274.3      -278.13     509.51       410.4         0.012689    108759   0     
  91.8087    23.041    5.018     47.09       193.02      -169.62     520.37       307.9         0.1902      109360   0     
  61.0409    41.3472   4.7648    -432.42     -617.69     -294.79     540.9        388.0         0.044755    109935   0     
  58.3342    37.9953   5.6905    847.07      -484.52     220.86      30.797       369.4         0.026437    111107   0     
  58.6462    38.1253   4.9808    -262.92     -1340.64    173.57      136.81       349.5         0.0067122   111517   0     
  59.631     26.4203   7.7542    -178.79     281.06      -24.96      572.5        454.8         0.0021829   111771   0     
  57.2754    21.6428   10.0328   -106.0      454.41      66.78       726.47       540.1         0.060496    112138   0     
  50.8207    30.5843   12.2334   -78.4       327.01      -56.09      414.56       314.1         0.044659    114380   0     
  77.0392    34.2666   5.893     -251.13     185.14      -266.71     487.39       354.2         0.162       114941   0     
  58.5976    38.6686   5.2431    1049.32     159.6       -250.25     370.86       372.9         0.045712    114962   0     
  69.9916    41.3635   5.4692    -309.55     -489.72     -328.68     391.72       307.5         0.01427     116735   0     
  89.94      41.4239   9.1688    260.6       67.12       -184.49     429.53       342.1         0.027494    118711   0     
  78.6254    31.7312   9.9192    -18.75      324.14      -381.18     484.83       377.6         0.013789    121138   0     
  58.5643    20.3493   13.9572   -425.94     154.51      71.28       541.14       396.8         0.024901    121833   0     
  58.0456    37.5529   7.9058    -245.89     181.56      -766.37     434.77       330.4         0.054543    121927   0     
  88.0839    42.317    10.113    245.66      -84.21      -321.14     400.19       306.4         0.022258    123124   0     
  50.6838    14.1079   15.0697   -353.67     656.6       -106.38     432.05       312.5         0.08456     123279   0     
  56.5034    19.8192   14.3426   -184.5      239.64      -123.97     748.75       564.2         0.031919    123343   0     
  98.8937    42.0336   14.0837   462.84      -432.21     -360.0      616.46       478.9         0.079234    124830   0     
  54.731     37.1132   10.9238   101.36      81.78       -332.6      727.34       525.4         0.06134     125220   0     
  51.4257    35.7264   12.3934   140.88      315.42      -291.36     691.54       533.7         0.040989    125956   0     
  69.7815    14.4325   17.2632   -412.4      395.77      64.27       579.01       438.9         0.019406    126229   0     
  98.7627    22.0569   14.9739   594.64      512.85      -54.86      703.46       495.5         0.1706      127447   0     
  63.1615    49.8777   16.9477   -73.94      -254.57     -91.94      412.51       315.9         0.011447    128158   0     
  50.2928    37.8395   12.3766   17.43       -56.05      -259.82     526.82       403.7         0.044298    128450   0     
  55.2642    36.9873   12.9334   -249.04     9.16        -637.79     625.25       501.9         0.010404    130127   0     
  58.5402    37.6826   13.3977   -357.32     -55.51      -574.65     423.52       323.0         0.036506    132168   0     
  76.3443    47.63     16.2172   20.44       -89.38      -265.35     422.04       359.0         0.019854    133058   0     
  50.3298    49.1363   24.0467   -254.28     -85.24      37.47       456.89       373.1         0.010313    134691   0     
  68.8664    44.9784   19.031    -315.87     -163.62     -288.46     476.36       327.6         0.08843     135026   0     
  63.1375    3.2474    24.4699   -56.97      317.06      1.38        482.22       362.3         0.035034    135835   0     
  57.7638    23.1584   20.7118   -237.04     59.73       -276.72     470.96       334.3         0.059558    139223   0     
  62.7345    14.3738   22.2869   -668.85     729.02      -407.89     435.21       354.5         0.023739    139915   0     
  91.5368    42.4023   25.2457   383.81      22.95       -153.39     529.72       426.5         0.041958    140149   0     
  97.5982    43.4076   20.4365   154.91      -95.54      -273.29     424.48       310.0         0.063242    140180   0     
  66.882     39.0526   24.2764   -252.08     160.29      -254.82     462.76       362.5         0.019671    140455   0     
  94.7871    1.7321    29.4551   228.22      239.78      109.11      528.02       401.4         0.020538    141984   0     
  95.9468    40.1759   25.8041   246.9       -32.34      -244.45     477.26       373.4         0.024066    143323   0     
  52.934     17.473    23.1144   -32.23      249.32      -163.46     633.46       503.3         0.031937    143512   0     
  56.1002    25.9557   26.7847   -140.4      247.72      -163.42     435.96       313.2         0.048878    147680   0     
  97.0941    38.3931   25.4183   106.51      158.33      -372.16     459.81       329.0         0.05229     148228   0     
  95.8154    44.9836   31.9839   169.3       81.18       -125.75     424.92       352.3         0.029709    150247   0     
  73.4794    41.9814   32.9936   109.7       177.43      72.52       397.29       307.4         0.1214      150963   0     
  56.5414    26.9291   27.0532   -116.35     -71.51      -363.41     576.04       409.5         0.040403    151582   0     
  71.941     15.1383   27.795    -119.07     151.35      -535.47     488.76       359.9         0.059504    153242   0     
  52.3689    22.5462   29.0833   -67.25      58.99       -363.84     656.46       501.4         0.025745    153976   0     
  79.6873    39.2541   35.5949   26.13       297.05      6.21        431.46       340.8         0.023559    154042   0     
  57.5206    28.9853   28.5318   -246.73     -71.11      -426.37     414.37       321.0         0.054819    156068   0     
  58.5145    11.5501   32.115    -158.85     212.79      -320.85     459.72       352.8         0.054225    156993   0     
  56.8992    19.2328   30.5756   -250.74     62.23       -412.32     443.44       358.8         0.015593    157809   0     
  61.8938    9.4263    33.6227   -240.24     210.56      -239.21     497.41       391.5         0.014627    158106   0     
  88.887     44.5243   38.4933   216.45      74.29       -103.73     500.69       373.2         0.074434    159788   0     
  99.2697    47.581    37.9898   63.37       71.35       -124.19     383.69       317.5         0.022847    161240   0     
  77.2365    44.8591   43.0761   177.97      430.26      228.34      433.63       349.5         0.026104    162226   0     
  77.1119    45.1724   43.771    122.72      384.01      -73.41      287.93       331.5         0.0078135   165303   0     
  99.6309    23.5989   40.5527   320.99      203.7       -84.98      413.75       303.3         0.026772    165516   0     
  80.4879    39.8075   41.0593   80.25       258.21      -84.17      404.55       324.2         0.036412    166011   0     
  65.3011    4.9936    42.1665   -241.33     70.0        -146.67     474.04       368.1         0.019416    166435   0     
  56.1635    7.1318    41.9442   -266.47     -51.86      -121.46     418.94       313.4         0.018947    166788   0     
  98.7664    23.9028   40.7082   441.26      300.36      -83.57      434.21       335.8         0.063589    166904   0     
  63.8599    33.5977   40.7484   -118.59     207.19      -213.6      405.6        308.4         0.030174    166969   0     
  97.5876    21.2653   42.631    407.11      214.15      -324.48     397.61       314.9         0.036829    168249   0     
  77.2051    45.8954   43.8789   117.76      137.41      -129.37     450.39       347.7         0.0055273   169096   0     
  84.5014    49.1967   49.5347   228.71      275.56      240.2       555.9        383.5         0.06151     169834   0     
  90.6673    22.7282   47.9553   85.25       209.7       -106.44     473.24       344.3         0.032405    170942   0     
  55.7385    4.0227    47.8304   -169.08     117.78      -62.97      498.33       384.8         0.030501    171780   0     
  89.157     23.0162   48.0152   282.39      194.81      -49.15      481.89       409.3         0.011447    171879   0     
  76.6405    48.7042   47.0132   129.54      259.35      -6.31       685.65       488.9         0.048071    172606   0     
  85.5621    49.3091   49.91     145.54      96.67       39.19       496.07       368.6         0.034628    173160   0     
  57.2451    4.1949    49.6232   -156.43     40.48       -275.16     625.56       476.5         0.029318    175932   0     
  50.0691    38.533    0.173     76.12       64.08       509.03      524.5        381.4         0.066244    177145   0     
  62.1062    41.2026   1.4142    -142.46     -437.15     839.93      592.52       433.0         0.043768    177160   0     
  62.4256    36.7252   4.6502    801.58      272.58      1036.41     76.547       376.8         0.021435    177206   0     
  74.238     32.8592   0.2223    -119.11     23.6        228.75      573.81       442.6         0.049655    177285   0     
  61.8775    36.3868   5.5959    269.81      148.74      495.49      508.17       415.8         0.0084796   177515   0     
  94.5872    42.0284   1.2404    -15.2       -72.25      459.89      736.64       551.5         0.083779    178104   0     
  55.1073    38.4804   4.0666    274.7       -168.36     684.74      540.14       403.8         0.014773    178706   0     
  79.0347    38.9856   3.1242    -14.72      112.94      375.7       474.79       384.1         0.017625    178860   0     
  59.8554    45.2007   1.0329    -55.0       -452.18     480.64      624.78       450.6         0.016959    179068   0     
  51.268     38.3759   3.5685    328.27      63.5        214.97      416.87       325.7         0.032377    181505   0     
  97.8023    19.926    0.7846    169.14      381.13      139.56      493.72       399.8         0.017166    182135   0     
  117.8872   19.352    5.841     364.78      396.19      668.21      873.58       673.7         0.036202    183442   0     
  120.0819   16.6756   8.2553    -139.89     111.8       715.32      470.72       362.5         0.022366    183466   0     
  126.7369   16.0652   3.0641    -405.68     -87.45      346.48      494.31       385.5         0.031549    183900   0     
  122.5037   11.5493   8.477     -6.98       1050.96     615.61      572.68       443.2         0.020621    185096   0     
  104.5127   42.9094   6.5776    -70.29      -673.28     525.52      244.04       511.5         0.013129    185415   0     
  135.9539   45.0217   1.6239    -581.84     111.3       -101.06     491.25       389.6         0.014705    186704   0     
  118.6738   1.8022    3.5383    167.92      874.03      57.4        677.75       454.6         0.067484    186780   0     
  117.507    21.9133   5.3559    -9.78       -194.94     289.95      477.7        351.2         0.02605     187040   0     
  118.7081   7.1454    5.3774    726.13      457.89      391.18      85.06        411.4         0.015716    187778   0     
  102.0979   28.1955   7.2047    298.42      121.85      338.6       440.7        359.5         0.020562    188942   0     
  122.0092   10.6385   7.1698    36.97       1112.9      512.91      452.46       320.4         0.077264    189172   0     
  122.7885   14.818    7.465     -368.61     -1.85       611.99      538.49       415.5         0.018017    189327   0     
  117.9378   19.6362   8.7093    315.49      113.52      599.02      594.87       497.2         0.014566    189332   0     
  124.5711   43.206    4.8795    61.05       -120.25     28.18       408.06       326.3         0.044911    189559   0     
  126.7922   12.0488   9.2213    -614.15     870.2       213.94      415.23       331.0         0.0091915   191597   0     
  127.0093   40.9657   3.5604    84.31       25.1        10.06       568.5        453.4         0.016791    192418   0     
  114.7185   18.9235   6.8914    795.49      680.2       343.5       446.69       343.7         0.062116    193076   0     
  100.8249   21.889    8.6981    474.44      490.67      428.87      744.44       546.8         0.032119    193135   0     
  102.4224   22.3945   10.4609   269.92      377.34      308.62      465.53       335.2         0.082604    193160   0     
  140.6891   45.3796   4.4443    -349.04     125.04      -54.36      479.86       378.2         0.020469    193899   0     
  133.4526   44.0459   1.7966    -43.75      -182.23     -170.15     902.34       664.0         0.020536    195389   0     
  137.2617   46.419    6.808     -66.2       117.88      -91.93      383.53       309.4         0.031094    196961   0     
  113.9058   25.6578   10.67     38.29       -431.16     259.85      525.4        413.1         0.037554    200400   0     
  116.0251   47.7427   7.19      84.83       1.19        -90.09      491.21       413.2         0.032284    200592   0     
  120.3108   15.6414   10.6603   422.23      -144.64     47.58       428.95       322.6         0.017931    200802   0     
  114.5265   21.616    11.9473   850.27      175.64      240.39      394.77       312.1         0.017333    200827   0     
  149.7515   38.5344   8.2908    -425.45     164.96      51.81       656.35       494.3         0.042046    202034   0     
  119.1696   7.0129    11.4334   406.01      891.64      -45.36      792.84       611.8         0.033627    202192   0     
  104.4705   28.903    11.1782   316.59      -68.49      125.54      459.59       367.1         0.028318    202974   0     
  146.9364   41.9024   9.4208    -257.26     23.06       -116.61     406.36       328.1         0.014947    206074   0     
  108.4225   30.2406   13.8579   75.19       -362.99     154.47      430.65       355.4         0.049436    206464   0     
  139.166    15.6142   14.1161   -454.12     6.7         -10.06      428.82       334.2         0.071579    206823   0     
  115.6907   20.3981   11.7347   405.59      -395.83     -275.49     608.67       590.8         0.041115    207839   0     
  119.5534   46.6152   13.52     69.89       83.29       66.92       534.06       433.6         0.015019    208975   0     
  136.3041   0.5434    17.1486   25.34       237.84      291.76      535.55       399.3         0.015652    211878   0     
  108.0959   24.5242   15.2511   813.89      -52.25      316.35      555.64       413.4         0.040059    212031   0     
  118.3409   6.4421    14.9363   348.63      697.78      -173.11     472.22       327.4         0.1388      212354   0     
  105.1078   23.3333   13.936    588.47      491.21      137.39      765.93       532.9         0.1063      212477   0     
  126.4291   12.4305   14.878    -674.78     440.66      32.05       642.27       462.8         0.12        212942   0     
  122.2087   49.81     16.1257   -0.16       43.61       59.15       560.81       435.4         0.020997    213245   0     
  133.1973   0.149     18.0103   211.61      746.66      201.8       653.5        490.3         0.040609    213274   0     
  133.6663   45.3906   18.9414   -108.57     -52.56      291.73      494.0        349.2         0.030139    214147   0     
  110.1132   43.5745   13.9878   -80.85      -17.47      -183.28     514.95       385.8         0.1198      214582   0     
  125.4222   12.3768   15.6006   -309.08     186.52      -398.94     551.33       440.4         0.017894    214823   0     
  112.3636   35.9213   15.3504   26.06       -154.33     -87.17      396.66       303.7         0.024543    215529   0     
  120.0704   24.8259   16.1888   -422.49     5.44        -13.37      612.64       478.2         0.085136    216429   0     
  137.7439   47.5676   18.6428   -384.02     72.7        95.64       445.51       363.5         0.020208    218610   0     
  117.0995   49.7801   18.3897   18.78       57.64       11.61       431.5        339.4         0.033759    218645   0     
  129.3031   12.7701   19.5954   -611.88     -56.38      93.28       483.34       396.3         0.013315    219336   0     
  132.5077   7.9967    21.4984   -358.03     378.41      221.85      572.14       419.6         0.056209    219771   0     
  109.6779   24.1658   15.7339   -365.97     137.28      239.02      1044.7       674.3         0.1093      219877   0     
  132.4422   43.0029   21.112    -276.97     37.01       180.8       475.61       351.9         0.1056      222758   0     
  109.0097   23.6297   16.7994   649.44      892.53      -408.78     322.65       302.9         0.036199    223019   0     
  108.6889   25.7905   18.1045   103.3       -386.24     -211.44     859.04       620.8         0.038569    224582   0     
  128.8031   39.6702   20.6536   384.62      133.06      30.45       404.38       324.2         0.042871    224650   0     
  149.5446   45.9711   22.5523   -315.93     0.04        123.64      434.24       350.4         0.019246    225707   0     
  131.2883   41.6297   21.5277   -179.74     -23.2       62.72       781.18       543.5         0.043503    227220   0     
  130.4301   40.524    21.3846   237.77      476.15      -101.87     626.29       458.1         0.044223    227711   0     
  113.4445   5.5519    29.2495   -124.93     632.07      470.44      375.36       310.5         0.032692    227833   0     
  127.9109   12.5625   19.2221   -162.39     43.24       23.63       614.48       436.8         0.1208      228487   0     
  120.5562   24.0611   17.9285   -354.79     -113.9      -422.81     440.01       365.8         0.02984     229117   0     
  110.2156   12.4089   26.6504   461.13      368.74      130.85      476.13       362.5         0.0239      229977   0     
  135.4841   41.1448   24.1046   -354.46     212.17      -21.54      669.4        506.9         0.060893    234261   0     
  139.9518   5.1573    26.221    -304.22     362.51      121.39      531.54       402.0         0.063072    234416   0     
  145.5099   33.5926   26.7446   -274.37     165.3       125.71      436.43       344.2         0.043844    234705   0     
  120.6247   13.0927   24.7637   255.76      177.97      26.93       529.12       395.9         0.021392    235032   0     
  107.8662   20.2121   23.468    591.29      275.96      -194.93     479.5        376.1         0.023662    238947   0     
  107.8276   25.935    19.2271   70.29       -436.81     -731.4      429.97       305.9         0.046459    239127   0     
  143.4433   35.7573   27.8701   -194.08     42.31       43.06       666.14       511.3         0.056753    239608   0     
  139.6833   44.696    28.6281   -373.01     223.28      -152.82     414.2        325.5         0.010782    239698   0     
  129.4835   40.5548   24.5625   189.69      116.07      -429.18     489.4        354.5         0.044223    242498   0     
