# X(Mpch)    Y(Mpch)    Z(Mpch)    Vx(kms-1)   Vy(kms-1)   Vz(kms-1)   Rvir(kpch)   Vcirc(kms-1)  Xoff        Nhalo     Distinct/Sub
  21.6209    13.3426    9.6782     85.77       67.23       -41.35      1069.5       785.2         0.05498     12008     0     
  0.698      28.5801    16.905     155.75      378.94      228.76      934.78       720.8         0.049414    25869     0     
  35.7263    43.1386    18.1982    67.71       -9.53       -123.35     1165.0       918.0         0.0082491   31070     0     
  16.4092    24.929     24.3691    -351.41     179.2       -212.89     926.96       707.3         0.03425     42318     0     
  45.0104    47.9277    40.3249    -24.07      471.35      -160.6      1113.7       833.0         0.044861    79934     0     
  59.4275    37.5229    5.088      595.66      136.81      20.64       1183.2       818.9         0.020452    107963    0     
  61.7145    14.5205    21.9819    -331.22     483.85      -452.13     1085.2       785.7         0.1115      146540    0     
  63.9851    35.6006    3.3549     5.19        255.8       223.88      1444.0       1036.0        0.1327      192054    0     
  116.9441   19.6922    10.44      226.75      216.64      -45.02      1206.8       847.4         0.1097      214401    0     
  121.991    13.8793    10.7285    -299.35     371.33      86.86       1417.7       1050.0        0.071315    218564    0     
  100.01     41.1853    13.1072    -197.94     -0.8        -51.89      1006.0       741.4         0.045333    233089    0     
  104.6527   27.8033    22.7155    381.07      15.76       -219.31     1095.3       834.6         0.079518    249727    0     
  124.8355   10.7689    31.1392    544.06      -214.93     85.81       885.55       723.1         0.034455    262499    0     
  110.4306   7.7126     28.6118    448.75      350.54      64.77       943.52       708.5         0.032928    262884    0     
  111.9112   2.277      32.2569    253.31      490.71      -162.87     1234.3       930.2         0.030277    264633    0     
  124.0559   5.0707     35.8617    -550.81     129.91      -398.06     1096.5       765.5         0.069306    277051    0     
  110.0468   23.0312    43.5711    670.72      -16.09      -99.35      1049.1       765.7         0.1717      294114    0     
  111.4186   22.6401    46.546     -304.44     36.98       -938.4      1069.6       702.4         0.078686    308401    0     
  174.018    11.8397    26.0418    -197.79     -180.14     210.04      1258.0       867.3         0.053803    352093    0     
  171.2055   21.9031    31.8327    122.98      -167.05     -216.41     989.05       706.1         0.052723    366576    0     
  175.5173   2.7247     27.7019    17.24       169.91      -469.63     940.37       721.1         0.029111    373025    0     
  223.3811   34.7167    10.7542    159.05      563.32      410.63      986.3        718.4         0.027045    424596    0     
  34.7132    72.3322    45.1025    111.48      18.8        -306.98     960.45       727.9         0.037619    583552    0     
  49.5506    50.5126    44.2709    -281.94     235.2       1.62        1044.4       756.8         0.1051      588959    0     
  61.2103    99.6731    35.6777    40.53       -175.09     211.08      1420.5       1086.0        0.1095      646950    0     
  84.4563    77.2598    44.1858    -115.96     -211.53     206.96      1064.5       743.1         0.069637    658048    0     
  104.1568   87.9562    1.3695     148.09      168.58      -176.76     1036.4       712.4         0.1048      682506    0     
  134.6624   67.8118    26.4795    -222.54     -458.68     -300.79     1604.7       1161.0        0.038413    744718    0     
  102.8985   90.1456    0.7137     369.95      -348.65     -401.07     1162.3       820.2         0.1089      791561    0     
  162.0345   89.0207    33.9865    -45.54      -158.41     -524.61     1014.5       736.6         0.035664    854752    0     
  226.9456   51.9581    27.6985    -178.54     -297.0      -246.24     1545.5       1148.0        0.06456     934771    0     
  0.3637     137.4425   3.9369     33.33       -613.06     20.54       955.39       768.1         0.012532    989230    0     
  7.9571     113.364    21.0691    -411.84     127.19      131.17      878.66       701.5         0.077032    1018937   0     
  3.831      106.9344   49.3       -250.31     9.94        180.33      958.18       785.7         0.076113    1067673   0     
  37.923     136.8576   49.1611    -104.89     -159.96     77.49       958.22       703.3         0.056942    1074230   0     
  59.4957    141.8011   34.9729    -671.21     123.02      -145.97     1084.8       782.4         0.017255    1134362   0     
  117.4829   126.997    22.3616    381.19      -47.0       -323.95     1030.7       711.6         0.031585    1196856   0     
  168.6415   134.886    18.1201    317.12      -120.08     -212.98     897.93       702.4         0.138       1272605   0     
  175.1928   110.8805   39.2515    205.91      -291.42     -539.11     1352.8       961.1         0.074903    1316334   0     
  244.6467   131.0154   40.5602    127.03      -43.93      -78.48      964.58       712.8         0.051622    1410345   0     
  249.9664   103.1288   48.1602    -63.75      193.93      -102.67     989.41       727.0         0.053124    1416744   0     
  236.8959   115.4433   45.6216    -159.62     31.77       -201.11     992.66       788.3         0.069646    1421144   0     
  26.9638    183.3592   34.2736    -25.61      44.86       195.63      1038.8       766.2         0.078794    1475891   0     
  28.3834    185.4923   46.7455    173.72      -163.22     316.05      1242.0       886.4         0.1292      1493798   0     
  29.418     185.068    49.4999    -168.52     -34.36      -31.05      984.83       758.5         0.023448    1501058   0     
  67.2471    198.4232   38.1904    -38.23      -119.79     170.36      1403.9       1068.0        0.033575    1572521   0     
  66.3853    151.8413   34.8539    -443.94     -15.83      303.17      986.61       705.1         0.1968      1572589   0     
  71.0286    177.7144   37.7058    -75.19      137.48      316.57      1098.5       818.3         0.05479     1578422   0     
  188.7383   165.6111   1.017      188.64      -157.02     -449.73     1116.8       853.6         0.078435    1672736   0     
  152.4502   195.2659   7.6892     134.53      127.73      -252.38     1027.4       743.2         0.057827    1680462   0     
  241.5235   152.1905   39.6081    -170.24     -650.82     284.19      1108.1       797.7         0.041578    1795608   0     
  4.0964     203.2178   9.4797     426.18      -108.41     -19.07      1217.1       899.7         0.041973    1832794   0     
  6.6112     237.1523   6.0691     -156.78     266.5       -292.35     1093.9       818.8         0.065181    1835176   0     
  82.4031    214.002    24.1324    -445.76     3.91        -264.79     992.91       710.0         0.049703    1955363   0     
  136.1914   233.4895   12.9134    271.14      505.16      37.55       938.44       753.9         0.067603    2013869   0     
  170.8641   246.1072   17.964     -80.04      304.85      478.5       1276.0       875.4         0.12        2099555   0     
  197.2286   238.4158   24.1795    -221.41     262.34      -35.21      867.03       703.3         0.027611    2114390   0     
  216.5208   237.1608   1.3613     -173.57     363.13      -289.52     1001.5       703.8         0.086407    2165197   0     
  213.1113   239.261    3.3361     432.35      419.25      -158.81     1102.1       823.0         0.033315    2168092   0     
  13.0171    36.4494    95.906     -158.64     40.07       64.94       931.43       741.2         0.021129    2317271   0     
  56.4318    49.1049    77.5345    325.48      100.33      66.66       1123.8       811.7         0.070016    2366552   0     
  81.7068    41.7206    79.5686    -99.75      487.49      73.52       911.98       701.9         0.022538    2368274   0     
  79.7876    45.688     90.1188    -70.46      -183.38     -640.87     1078.1       773.1         0.035573    2403256   0     
  117.9876   16.6165    54.6398    -111.95     176.9       -521.07     1048.3       735.1         0.066222    2423662   0     
  176.305    49.4682    57.2595    169.52      -140.19     -190.52     1029.4       704.2         0.1018      2511375   0     
  153.8167   9.1635     75.0715    605.48      69.04       37.85       1167.7       875.5         0.051895    2545602   0     
  160.9021   5.5198     75.8653    -104.64     260.19      -145.29     1400.5       1017.0        0.062484    2546453   0     
  182.9464   43.7941    76.7028    -171.8      193.81      -83.46      971.45       743.4         0.028438    2556636   0     
  201.1804   28.1852    76.9618    255.82      60.22       -141.09     992.07       761.9         0.032247    2636851   0     
  64.1892    50.9189    78.5557    -460.66     276.99      -310.36     1197.5       834.7         0.079363    2823637   0     
  56.3255    87.9927    92.6737    -490.73     -793.56     412.7       1106.7       743.8         0.047343    2839811   0     
  57.4866    61.0624    91.0072    12.55       -33.21      -186.4      975.33       769.8         0.036169    2845516   0     
  184.476    65.2974    52.242     345.83      -323.37     -23.47      1135.5       813.2         0.031366    2933600   0     
  191.9828   65.5701    84.9385    -301.35     -100.36     -109.03     1181.2       967.1         0.020864    3000180   0     
  176.9807   53.5424    89.0607    534.53      18.07       -102.33     959.25       760.1         0.020259    3000485   0     
  202.4552   56.4546    62.4219    -57.35      143.7       -72.18      1026.3       767.2         0.046549    3049571   0     
  238.2577   97.0846    60.8724    148.13      147.36      -454.38     1049.1       740.5         0.043312    3053495   0     
  24.9659    105.829    51.1596    11.28       110.5       -160.74     917.68       701.5         0.1181      3127620   0     
  4.4633     104.8863   53.592     -51.9       172.88      -382.03     1014.7       723.9         0.060038    3133205   0     
  27.8815    128.6734   97.3913    -109.54     184.23      -364.56     973.04       730.8         0.062247    3214522   0     
  62.9903    134.3864   68.162     -175.07     -123.34     -256.46     1394.8       1053.0        0.06667     3256623   0     
  82.7297    110.3343   85.1466    31.61       95.96       0.47        1018.6       706.0         0.052281    3281802   0     
  97.0038    133.8765   87.8322    -129.67     515.37      -347.82     942.87       757.1         0.028687    3285628   0     
  99.2606    134.5234   90.8264    -227.2      71.26       130.67      1012.1       725.0         0.046732    3286001   0     
  122.013    141.6988   72.729     -383.78     -37.9       62.95       979.74       737.0         0.039307    3347283   0     
  100.656    134.0208   93.5046    -287.83     261.04      -201.23     1060.2       716.5         0.089265    3384633   0     
  210.5369   139.3135   64.9946    480.4       -173.18     423.94      1232.4       920.1         0.075447    3480939   0     
  233.4974   149.079    62.6091    11.91       6.94        -32.8       946.48       763.0         0.022713    3480961   0     
  207.0573   141.1868   68.0925    856.48      -330.5      -267.5      990.8        743.2         0.028119    3485069   0     
  224.2427   132.0085   65.5686    -289.03     251.11      155.61      1493.9       1051.0        0.067985    3491833   0     
  215.8157   133.801    72.7698    -18.32      334.01      -581.58     1006.1       725.8         0.091371    3506539   0     
