# X(Mpch)    Y(Mpch)    Z(Mpch)    Vx(kms-1)   Vy(kms-1)   Vz(kms-1)   Rvir(kpch)   Vcirc(kms-1)  Xoff        Nhalo     Distinct/Sub
  21.8107    13.8922    9.5452     18.43       105.25      -36.77      1005.6       799.8         0.023948    16859     0     
  1.7431     29.7327    17.825     325.78      259.99      180.5       912.7        736.1         0.038786    18820     0     
  35.721     43.2767    17.7143    88.81       -52.83      -141.97     1135.6       953.0         0.020033    30543     0     
  45.2071    49.7063    39.9117    -63.67      289.13      -188.14     1123.7       823.1         0.034702    67757     0     
  60.1005    37.6155    5.0936     550.63      -462.2      -136.06     1049.0       920.8         0.1603      94882     0     
  60.4603    16.1173    20.9961    -66.3       485.17      -327.72     1154.3       866.0         0.056309    126042    0     
  62.4418    37.1018    4.4659     -653.34     314.53      337.56      1429.0       1051.0        0.06886     169094    0     
  104.1337   42.2757    7.5475     -29.19      -149.94     251.6       1043.7       755.4         0.1182      179776    0     
  121.9042   15.2834    10.4533    -42.5       222.33      -159.11     1587.0       1162.0        0.082334    190539    0     
  117.0243   19.8093    10.6106    404.58      72.94       -214.39     1303.6       972.1         0.1005      191122    0     
  109.7834   24.7367    16.1069    -37.46      517.2       -162.19     1181.0       801.0         0.065292    201568    0     
  100.71     41.0122    12.2529    38.24       -78.45      -45.68      985.16       734.1         0.071639    205087    0     
  106.8804   26.8924    21.3689    502.42      -199.3      -245.49     1120.0       809.1         0.095699    216508    0     
  128.1048   6.9194     27.7904    -131.45     598.69      176.14      990.21       798.6         0.011895    228273    0     
  112.4118   9.0103     28.909     397.18      317.88      54.46       920.85       736.5         0.019952    228350    0     
  113.0128   4.5663     31.6165    237.93      644.17      -134.05     1127.7       887.4         0.026189    232043    0     
  125.3881   9.979      31.0885    16.7        -235.97     -26.4       1090.4       847.6         0.024626    233868    0     
  137.3404   11.792     36.2666    -154.14     1.62        -234.21     989.77       778.1         0.032348    240623    0     
  125.4801   7.7064     34.7614    287.63      410.12      -385.17     1227.7       881.3         0.1257      249751    0     
  111.2727   22.8238    44.0842    52.87       -90.43      -172.11     1248.1       933.8         0.1078      263626    0     
  118.307    24.4545    4.1653     168.96      -206.28     337.45      981.43       772.0         0.018081    280421    0     
  173.5623   11.7728    26.7329    -206.39     -228.81     73.12       1565.6       1134.0        0.1586      311283    0     
  175.2041   3.9831     25.391     -516.94     208.81      -613.0      1264.8       1010.0        0.065415    329460    0     
  224.3564   37.0359    12.4769    201.5       517.44      462.41      896.77       739.3         0.016531    371636    0     
  233.4552   44.6537    16.1133    116.38      -86.78      395.91      1045.2       766.8         0.082271    377743    0     
  227.4753   41.0612    17.8877    -137.01     597.27      -705.42     1466.0       1007.0        0.083231    387009    0     
  245.9524   12.1504    31.6709    53.78       21.44       102.67      912.21       714.2         0.012292    400299    0     
  16.4921    55.8962    21.2028    -184.49     -101.06     -68.21      1011.4       790.7         0.032127    474094    0     
  35.7921    72.351     41.2779    -116.32     -182.28     464.89      1025.6       771.9         0.053135    496797    0     
  35.3436    72.5706    43.4796    75.71       187.28      -441.28     979.96       760.4         0.064767    513256    0     
  47.5363    51.0396    42.756     -382.34     152.41      -363.29     1139.3       821.3         0.077082    515081    0     
  83.5674    76.1183    44.0476    -252.37     -313.22     1.67        973.11       754.6         0.028       578018    0     
  104.5281   88.8204    0.4079     -193.01     -176.64     33.92       1577.2       1148.0        0.1523      597115    0     
  109.8579   63.859     11.6173    405.18      29.16       98.52       1078.5       770.2         0.071553    616453    0     
  138.2348   67.741     16.6646    -63.23      -315.03     24.46       1058.8       789.1         0.042499    623040    0     
  133.999    66.5067    25.3874    -133.63     -291.24     -269.71     1451.9       1162.0        0.013203    647711    0     
  128.1127   59.2335    27.6016    281.27      123.59      -167.54     1134.4       835.4         0.057164    658568    0     
  192.1465   85.5044    21.4754    -58.22      119.01      159.86      919.89       731.7         0.038668    730046    0     
  163.1461   88.4148    32.4531    226.24      -143.54     -370.28     940.88       737.7         0.011891    749464    0     
