# X(Mpch)    Y(Mpch)   Z(Mpch)   Vx(kms-1)   Vy(kms-1)   Vz(kms-1)   Rvir(kpch)   Vcirc(kms-1)  Xoff        Nhalo    Distinct/Sub
  29.4517    33.7642   2.9681    -62.87      248.56      231.81      405.72       326.5         0.044644    226      0     
  27.8573    12.619    4.0149    -342.0      247.04      377.13      610.9        461.5         0.1001      462      0     
  10.729     38.8424   3.1946    85.89       68.41       217.97      498.22       401.7         0.060598    715      0     
  24.4698    35.465    5.0515    129.54      72.29       208.94      602.57       456.7         0.075472    3491     0     
  37.8105    10.7997   1.85      6.31        152.2       -19.86      398.14       307.4         0.016318    5134     0     
  26.8106    14.0202   5.3438    -9.38       -8.78       216.66      603.65       447.5         0.119       5166     0     
  26.0735    36.0608   5.7042    -230.3      -144.69     129.61      450.03       343.4         0.054408    9523     0     
  24.8514    34.6124   6.9095    23.48       412.78      -0.84       476.76       363.2         0.085759    9932     0     
  38.0858    24.7301   5.6948    -51.55      117.69      -21.72      617.63       478.5         0.039104    11930    0     
  26.8819    15.7316   8.085     -102.42     -70.04      26.47       496.4        372.3         0.1036      12402    0     
  44.2759    33.9515   8.0153    -99.4       99.12       172.87      419.45       337.0         0.028456    12541    0     
  42.5259    32.7165   8.1421    345.61      386.89      -43.4       658.72       495.0         0.048823    14483    0     
  46.8964    41.9865   9.7413    172.5       148.19      -137.22     521.46       382.5         0.042941    18211    0     
  6.6933     30.4647   12.7977   -115.81     -98.59      439.08      686.22       515.4         0.1042      19115    0     
  20.1976    43.8041   10.5346   158.0       261.73      -58.42      515.73       367.5         0.1057      19722    0     
  5.8022     30.0016   13.5534   180.78      148.67      119.27      571.45       495.5         0.023459    20137    0     
  34.7905    1.8492    8.8467    -277.58     153.57      -83.1       431.87       334.4         0.1068      21450    0     
  10.4053    13.7145   12.607    156.17      -22.65      24.99       512.44       379.5         0.1001      22623    0     
  13.6415    18.2901   12.5916   -248.21     82.6        198.31      502.61       381.1         0.040129    23189    0     
  27.3469    16.3644   8.8901    -241.94     -194.69     -214.15     498.01       372.6         0.067298    23211    0     
  45.7049    42.0059   11.6893   263.03      -134.33     13.41       449.97       326.0         0.1272      23430    0     
  38.475     8.4381    11.9025   87.76       171.35      -4.2        466.21       356.6         0.075753    24744    0     
  16.6851    15.8589   11.958    -34.91      15.31       -19.97      496.07       363.0         0.07651     25403    0     
  10.2787    12.6839   12.1914   19.4        304.13      419.61      468.38       311.2         0.1256      25919    0     
  9.8634     25.6834   13.7567   -18.12      59.41       67.44       417.44       317.0         0.072477    26089    0     
  43.0586    42.4242   13.7458   144.38      -144.64     97.5        422.86       333.3         0.020881    26281    0     
  18.1501    46.7926   11.2615   -161.69     135.7       -208.79     451.02       333.8         0.1126      26879    0     
  25.0701    3.1355    11.4581   -136.32     -3.24       -198.43     461.07       335.4         0.1188      26999    0     
  22.5929    44.4685   11.6366   -269.23     17.51       42.05       462.98       366.1         0.1776      27514    0     
  49.1779    11.7951   13.0856   -8.81       229.36      70.89       611.16       478.1         0.044915    28268    0     
  25.2322    2.2101    11.0191   -170.57     419.8       -89.38      457.38       388.9         0.018778    29294    0     
  46.0766    41.4468   12.9475   -137.25     38.47       -266.09     445.84       312.2         0.181       29770    0     
  44.7483    20.82     14.9733   -64.43      20.63       -202.66     436.37       322.5         0.052078    32935    0     
  36.1972    11.8525   13.2613   -70.98      167.58      -235.74     363.73       303.7         0.018215    34524    0     
  3.5089     30.0716   15.5618   5.73        -253.76     -26.45      422.17       330.9         0.029941    35365    0     
  48.8058    39.0583   14.4099   33.09       -103.79     -162.65     371.8        311.2         0.031808    36008    0     
  44.0382    1.4044    14.7398   -307.16     342.63      -294.93     541.97       422.9         0.068115    36744    0     
  35.7322    17.8057   14.8735   -99.82      108.55      -35.19      444.82       358.2         0.080199    37537    0     
  25.3563    3.0816    12.6439   -306.54     163.96      -494.99     552.56       476.1         0.049472    38472    0     
  43.0739    15.3405   16.5666   -16.84      88.39       1.04        424.26       309.2         0.1462      38613    0     
  5.3218     46.8578   17.3916   -50.82      201.79      48.55       377.76       306.0         0.014393    40091    0     
