# X(Mpch)    Y(Mpch)    Z(Mpch)    Vx(kms-1)   Vy(kms-1)   Vz(kms-1)   Rvir(kpch)   Vcirc(kms-1)  Xoff        Nhalo       Distinct/Sub  
  0.8201     29.0414    17.364     -803.42     367.39      126.9       275.83       202.7         0.020926    21016.0     20585.0       
  21.2312    13.4636    10.1845    632.09      -336.93     -658.21     294.66       226.8         0.021945    13159.0     20871.0       
  36.7416    43.4679    17.6208    -906.05     432.97      -36.2       196.95       149.5         0.021524    32141.0     33042.0       
  44.9635    48.7074    39.8633    221.38      1023.91     595.44      290.51       254.5         0.022484    73774.0     74219.0       
  12.5116    36.5338    34.6556    258.13      -542.82     -1048.87    91.509       356.2         0.014717    63315.0     78025.0       
  60.2802    37.6007    5.4615     -556.9      925.2       -437.95     174.46       266.3         0.022843    180884.0    102001.0      
  61.0528    14.9777    21.489     -327.81     328.72      -233.4      160.54       443.4         0.020767    127015.0    135922.0      
  63.5045    35.9701    3.6007     -392.39     -633.36     44.31       328.6        346.2         0.052534    110244.0    178954.0      
  103.5786   42.4444    6.9737     201.01      301.29      94.32       144.11       206.4         0.1828      190512.0    191967.0      
  117.0877   19.9164    10.5335    69.81       232.25      -154.64     133.74       350.9         0.035671    199238.0    201830.0      
  122.173    14.5235    10.6948    -33.93      1554.79     303.91      231.16       606.3         0.035143    195068.0    204244.0      
  100.3069   40.6146    12.6718    -531.55     315.0       318.83      164.84       199.4         0.01939     209460.0    214601.0      
  105.3137   27.9134    21.8645    1516.85     -358.52     243.3       251.89       278.8         0.011728    231666.0    231695.0      
  111.2403   8.3334     28.3593    712.83      -99.1       880.38      310.69       190.2         0.023465    232425.0    236919.0      
  128.275    5.5231     27.4639    490.13      620.41      -672.53     44.938       233.5         0.045377    230923.0    243132.0      
  112.5821   2.3344     32.1841    561.0       710.29      -399.45     242.88       210.8         0.0073223   237342.0    247564.0      
  125.536    10.1935    31.566     -109.86     -64.14      -187.77     212.08       511.0         0.012955    241840.0    253772.0      
  137.7993   12.0123    37.0095    -216.19     11.72       -213.03     134.02       375.6         0.163       265375.0    259623.0      
