# X(Mpch)    Y(Mpch)   Z(Mpch)   Vx(kms-1)   Vy(kms-1)   Vz(kms-1)   Rvir(kpch)   Vcirc(kms-1)  Xoff        Nhalo      Distinct/Sub  
  24.6179    35.6901   6.1342    -696.11     223.27      705.36      165.77       320.9         0.05422     7733.0     2436.0        
  10.8499    39.3051   4.086     528.61      525.45      229.49      239.67       154.1         0.012588    102978.0   2457.0        
  26.7493    13.9864   5.3302    -229.12     266.2       980.2       182.62       380.4         0.026983    1490.0     3050.0        
  37.5942    11.3147   1.9136    64.43       192.64      -193.99     154.68       104.9         0.043301    4549.0     3793.0        
  40.3123    49.1166   5.5771    -274.99     149.71      -38.46      202.95       266.4         0.02205     2941.0     4866.0        
  8.8101     1.89      7.5947    136.27      -59.12      153.66      23.435       183.2         0.035057    8687.0     7868.0        
  37.6646    25.1666   5.956     -524.73     -456.14     -59.8       276.2        163.9         0.035693    5473.0     8442.0        
  20.371     44.1594   11.3275   -145.02     513.55      387.52      48.31        155.1         0.068377    8180.0     12221.0       
  31.052     17.7627   8.8187    -378.21     -42.21      -44.47      145.3        216.5         0.1306      15745.0    12855.0       
  26.9339    9.6775    7.5069    50.27       -21.95      17.77       146.04       268.9         0.058128    8705.0     13161.0       
  22.0241    33.0823   9.2183    14.29       499.29      -78.89      89.784       192.3         0.051791    13358.0    14215.0       
  6.5571     30.2727   13.8535   -606.5      -379.84     1156.25     182.43       263.7         0.059172    15440.0    14601.0       
  33.873     2.359     8.3978    -388.28     177.18      -516.11     187.39       109.2         0.045992    15190.0    16823.0       
  43.0016    33.8529   8.349     352.44      -438.29     -108.44     158.41       172.1         0.015521    11332.0    17112.0       
  24.577     3.5379    11.0184   -157.49     430.81      342.92      40.296       234.6         0.063419    32990.0    17297.0       
  47.2394    41.0789   9.9378    289.03      -209.63     448.63      228.48       184.8         0.024202    15553.0    18088.0       
  13.7891    18.3321   13.5188   -205.08     -171.9      174.59      340.23       204.4         0.065196    7132.0     18280.0       
  26.378     15.5733   8.0781    -218.59     -341.94     -232.93     152.82       320.2         0.047722    12443.0    18288.0       
  10.3766    13.5588   12.6405   60.2        266.89      187.86      68.582       215.6         0.09495     19462.0    18632.0       
  43.4772    42.0714   13.8905   90.35       -86.3       73.55       6.8889       99.59         0.081566    20564.0    19275.0       
  21.7185    44.696    11.2947   -644.35     19.24       -67.74      366.3        200.9         0.0098085   25987.0    19291.0       
  16.8468    15.878    11.6021   -106.9      412.58      93.94       231.16       177.3         0.018001    15322.0    19507.0       
  16.4826    49.2896   10.2619   -256.0      366.64      -93.12      99.479       214.7         0.061437    15140.0    19739.0       
  17.7152    47.3784   10.8287   -63.35      1.59        -405.36     312.34       149.3         0.080042    16761.0    20151.0       
  38.3477    9.5865    11.5764   -104.69     519.93      76.92       206.62       199.4         0.035418    29782.0    21174.0       
  43.2754    10.8546   12.4445   -81.01      146.79      366.09      199.22       144.7         0.038198    13573.0    21614.0       
  45.3539    11.3814   12.3869   -295.97     222.33      155.51      266.7        198.3         0.1361      20277.0    23908.0       
  48.4962    13.0323   13.3448   -631.74     -62.36      297.79      133.88       96.78         0.033243    16466.0    23920.0       
  44.6483    21.1078   14.8748   419.03      182.72      -96.13      152.13       115.1         0.01234     23537.0    24903.0       
  10.3365    19.3299   15.3509   266.43      -184.1      211.87      123.73       185.3         0.025848    19935.0    26212.0       
  46.35      41.334    12.1972   -50.33      -315.54     221.92      166.6        290.9         0.023338    16358.0    27292.0       
  5.6237     22.2556   16.4082   269.53      256.14      50.73       161.7        124.2         0.040516    25778.0    28050.0       
  12.0728    19.7937   14.6976   -618.22     180.54      26.12       128.18       221.6         0.030595    29923.0    28072.0       
  48.9894    38.659    13.6752   142.25      -146.94     -385.65     149.44       235.1         0.1298      24177.0    28232.0       
  3.3342     29.3528   15.6663   -132.58     -364.15     74.37       277.22       135.2         0.036778    22325.0    29577.0       
  5.2715     47.4744   17.2094   -110.64     213.64      -273.9      113.46       81.02         0.050617    25567.0    30147.0       
  42.8284    15.6418   16.2808   269.98      -393.18     -177.5      101.73       120.3         0.045552    35554.0    30365.0       
  35.4309    18.2181   14.2768   -301.87     -113.94     -432.38     63.319       116.1         0.023498    24468.0    30389.0       
  43.1725    2.5049    13.8346   -345.96     244.22      -335.6      202.12       107.7         0.033007    25157.0    31149.0       
  7.5294     22.2913   17.6188   326.22      577.48      29.96       152.12       280.2         0.068824    35581.0    33154.0       
  12.9018    1.4415    12.0127   -115.6      58.56       -334.94     84.658       140.6         0.057589    31663.0    33457.0       
  42.2608    41.6277   17.7865   -135.56     365.44      -88.62      174.66       97.83         0.050091    40075.0    37674.0       
  29.0077    21.3649   19.8051   -252.25     -158.57     -398.73     306.53       196.6         0.070297    43546.0    41818.0       
  33.7649    13.1533   21.7316   116.05      320.97      344.88      81.056       86.14         0.1104      47474.0    43919.0       
  37.8899    39.4635   19.9004   -164.77     112.08      -222.82     373.13       200.4         0.1763      44173.0    45061.0       
  9.6434     9.8671    21.1307   90.34       161.71      -336.32     194.16       80.7          0.05467     45746.0    46170.0       
  41.7251    14.5815   22.7189   -463.86     367.6       -90.23      99.335       217.6         0.021941    44408.0    47069.0       
