# X(Mpch)    Y(Mpch)    Z(Mpch)    Vx(kms-1)   Vy(kms-1)   Vz(kms-1)   Rvir(kpch)   Vcirc(kms-1)  Xoff        Nhalo       Distinct/Sub  
  22.3782    13.8823    9.674      -748.06     -279.14     -274.29     386.93       191.5         0.0022004   19781.0     16859.0       
  2.0531     29.9749    17.7997    -733.94     499.48      301.2       393.13       233.6         0.0095986   20599.0     18820.0       
  35.598     42.9035    17.7939    -748.76     1115.73     287.45      189.04       291.8         0.023993    28499.0     30543.0       
  44.7103    49.9735    39.4604    75.39       847.81      -233.3      281.61       381.7         0.011786    75062.0     67757.0       
  60.8205    37.7427    5.019      490.62      261.3       238.31      155.18       517.0         0.1348      95636.0     94882.0       
  60.2877    16.2928    20.86      -1664.27    360.83      -636.71     205.86       373.0         0.051075    131816.0    126042.0      
  62.3334    37.1736    5.3391     80.42       487.17      -845.67     271.48       399.2         0.0070902   165915.0    169094.0      
  103.5008   42.3139    7.7321     118.37      -76.57      224.52      292.33       438.0         0.0085378   176320.0    179776.0      
  122.4065   14.8399    10.3458    -269.64     2229.55     923.88      210.12       451.4         0.013545    172183.0    190539.0      
  117.8796   19.8857    10.5596    -641.76     52.77       735.69      214.4        495.5         0.006012    177832.0    191122.0      
  109.6006   24.7845    16.2056    181.18      -72.07      854.99      213.11       493.0         0.028041    196694.0    201568.0      
  100.1906   40.9669    12.8358    718.53      -423.95     -810.3      303.03       479.3         0.0087273   206483.0    205087.0      
  106.9049   27.0499    22.1068    492.25      137.29      -1238.83    184.37       532.6         0.01113     234356.0    216508.0      
  128.6794   6.7308     28.5723    354.43      641.42      195.56      249.13       190.7         0.056589    220997.0    228273.0      
  112.407    8.9931     28.3634    563.26      -270.83     -320.42     172.79       243.2         0.04598     216234.0    228350.0      
  112.8196   5.5423     31.7844    8.27        -122.53     519.86      262.12       271.7         0.045497    219097.0    232043.0      
  125.5142   10.7064    30.5146    -74.14      -167.75     -939.08     247.27       265.3         0.015621    234227.0    233868.0      
  136.5946   11.3293    36.0927    -117.91     310.03      117.77      261.36       231.1         0.0066626   253028.0    240623.0      
  124.9465   7.3201     34.9731    -109.78     345.35      -181.91     109.08       389.8         0.079033    253059.0    249751.0      
  111.2071   22.6042    44.5067    184.64      60.85       -315.54     246.73       532.7         0.046612    258811.0    263626.0      
  118.5059   24.3934    3.7549     -324.3      158.3       992.87      121.8        321.3         0.026332    277396.0    280421.0      
  173.6443   10.9742    26.3518    388.84      -579.79     182.09      228.92       565.7         0.019677    324705.0    311283.0      
  175.3544   4.0364     25.4862    659.73      549.16      130.89      185.64       549.5         0.01538     323164.0    329460.0      
  223.9226   36.7331    12.7231    333.87      411.13      129.07      132.47       166.3         0.027169    361397.0    371636.0      
  233.6225   44.965     16.2527    959.25      295.64      331.04      125.84       329.3         0.012111    365648.0    377743.0      
  227.7277   41.1019    18.4993    -15.06      612.68      -194.48     233.26       616.0         0.028624    387745.0    387009.0      
  246.1506   11.9641    31.8928    -706.17     -267.67     743.8       309.95       189.5         0.010395    400309.0    400299.0      
  16.2636    55.7214    21.2521    437.79      -40.58      400.59      170.98       266.8         0.021888    465867.0    474094.0      
  35.699     72.0904    41.2043    109.73      283.49      371.78      214.97       331.3         0.033136    500740.0    496797.0      
  34.9233    72.904     43.8412    646.23      -723.87     -710.01     144.4        271.6         0.0099251   519523.0    513256.0      
  48.1739    50.9785    42.9802    -533.48     -97.42      -639.88     135.31       358.5         0.033283    499786.0    515081.0      
  83.3277    75.9695    43.9968    80.98       -86.8       50.48       286.7        246.1         0.1332      586561.0    578018.0      
  103.6394   88.8508    0.3955     824.01      -1332.22    506.4       210.28       705.5         0.0045121   596761.0    597115.0      
  109.4333   63.3715    11.5314    105.38      -551.44     318.22      145.03       282.6         0.020829    612241.0    616453.0      
  138.2287   67.7022    16.738     -105.26     -470.57     231.4       83.176       329.0         0.1411      623062.0    623040.0      
