# X(Mpch)    Y(Mpch)   Z(Mpch)   Vx(kms-1)   Vy(kms-1)   Vz(kms-1)   Rvir(kpch)   Vcirc(kms-1)  Xoff        Nhalo      Distinct/Sub  
  27.736     12.5974   3.5974    -255.96     292.11      62.62       204.95       175.9         0.084658    8219.0     462.0         
  10.6911    38.7077   3.2571    178.6       258.42      173.83      153.03       206.8         0.1406      4499.0     715.0         
  24.4764    35.2751   4.9562    -461.96     359.7       556.02      122.48       227.3         0.062062    1593.0     3491.0        
  37.7092    10.7483   2.0937    -103.39     173.5       10.46       268.88       126.2         0.1714      3704.0     5134.0        
  26.511     13.9338   5.6049    388.03      16.16       -293.58     230.44       287.1         0.1015      8242.0     5166.0        
  26.3693    35.9089   5.6037    -518.26     231.95      12.45       195.22       141.4         0.033761    9969.0     9523.0        
  24.962     34.6916   6.8438    -363.47     271.04      201.08      151.07       172.6         0.1506      13014.0    9932.0        
  38.5395    24.9861   5.6701    -274.16     355.76      -83.03      309.27       133.1         0.020148    3870.0     11930.0       
  26.8306    15.4275   8.0652    -98.3       60.57       29.37       203.09       170.9         0.036015    17934.0    12402.0       
  44.3918    33.9193   7.9556    103.48      -48.39      138.33      124.13       77.62         0.036596    9935.0     12541.0       
  42.5246    32.2702   7.9003    316.83      754.44      354.69      213.46       206.9         0.091608    15490.0    14483.0       
  46.8545    41.9285   9.7894    402.55      -117.12     85.11       85.612       194.7         0.079271    22424.0    18211.0       
  6.6945     30.5885   13.1207   -46.51      -196.01     171.71      345.85       201.4         0.070148    10973.0    19115.0       
  20.2891    43.7521   10.5152   -95.24      160.74      213.23      106.93       216.6         0.045742    15085.0    19722.0       
  5.7397     29.8345   13.5988   206.79      -41.09      163.13      163.17       164.1         0.1614      17512.0    20137.0       
  34.6646    1.7197    8.886     -85.08      542.01      28.26       27.155       140.2         0.09907     17210.0    21450.0       
  10.032     13.4866   12.6677   -151.17     404.08      88.17       289.28       166.0         0.032973    20512.0    22623.0       
  13.6143    18.5103   12.4694   231.82      -335.88     343.43      146.73       177.2         0.084288    19472.0    23189.0       
  27.3768    16.6962   8.7925    170.43      85.55       -82.77      59.437       131.1         0.046158    25400.0    23211.0       
  45.6363    42.2117   11.5054   270.07      -140.69     162.67      243.44       167.6         0.071894    22385.0    23430.0       
  38.3374    8.5673    11.8822   -382.81     294.96      -228.54     189.75       192.9         0.07901     24712.0    24744.0       
  16.5543    15.688    11.8742   -230.56     227.72      88.04       101.66       170.7         0.027663    27767.0    25403.0       
  10.694     12.7134   12.0486   -79.11      220.37      148.95      339.43       218.1         0.1032      24223.0    25919.0       
  10.0873    25.443    13.7312   59.09       134.02      316.61      329.42       135.0         0.058043    32439.0    26089.0       
