# X(Mpch)    Y(Mpch)   Z(Mpch)   Vx(kms-1)   Vy(kms-1)   Vz(kms-1)   Rvir(kpch)   Vcirc(kms-1)  Xoff        Nhalo    Distinct/Sub
  24.7705    35.7294   6.1854    286.2       17.92       299.71      818.29       585.8         0.1263      2436     0     
  10.9653    39.496    3.9937    35.62       209.25      204.92      478.05       376.2         0.026258    2457     0     
  26.8327    13.8335   5.3852    -222.41     39.14       -173.47     903.39       655.7         0.066519    3050     0     
  37.4712    11.5318   1.7282    -85.5       214.04      -71.95      426.88       325.7         0.032874    3793     0     
  40.1553    48.9061   5.6466    -62.85      -184.15     217.93      499.5        327.2         0.1957      4866     0     
  8.8244     1.9967    7.4217    86.23       -262.64     131.79      470.97       333.4         0.1257      7868     0     
  37.9076    25.0945   5.8452    -75.14      115.95      81.68       618.27       494.0         0.040894    8442     0     
  43.7166    34.2707   8.612     -268.26     31.79       116.53      219.93       343.9         0.020593    12146    0     
  20.2537    44.2747   10.9357   66.24       63.31       186.47      530.58       372.1         0.058308    12221    0     
  31.1882    17.7156   8.8372    -379.76     -65.51      -220.92     408.99       308.5         0.065301    12855    0     
  26.9262    9.8181    7.4384    -324.53     432.48      -136.04     520.29       364.2         0.1258      13161    0     
  22.038     33.165    9.1864    -68.91      169.68      19.48       502.48       374.2         0.062534    14215    0     
  6.4788     30.2815   14.1373   -123.67     -55.81      454.72      915.74       661.8         0.049148    14601    0     
  33.9584    2.4721    8.5533    -233.13     198.58      -105.65     425.93       327.4         0.037623    16823    0     
  43.0453    33.7137   8.2783    135.03      333.85      165.89      714.09       540.5         0.035041    17112    0     
  24.5514    3.5566    11.0433   -185.11     174.46      -276.18     820.19       604.4         0.050752    17297    0     
  47.3161    41.4428   9.6645    123.56      -315.79     -56.01      586.77       388.6         0.075812    18088    0     
  13.3394    18.23     13.4536   -18.2       -63.59      173.15      629.67       423.9         0.056769    18280    0     
  26.3722    15.4303   8.0245    -134.43     126.19      -103.29     689.6        480.7         0.089306    18288    0     
  10.4243    13.5978   12.6711   -35.14      142.22      22.16       714.69       508.7         0.093078    18632    0     
  43.4707    42.0703   13.8931   116.83      -118.11     94.13       423.87       336.8         0.021571    19275    0     
  21.6935    44.2771   11.5284   -286.42     -24.57      -54.63      539.41       398.8         0.1596      19291    0     
  16.7467    15.9681   11.9283   30.58       96.8        22.34       506.92       377.5         0.023283    19507    0     
  16.4225    49.3331   10.1956   -20.46      173.85      -113.18     433.66       305.5         0.090359    19739    0     
  17.8904    47.144    10.9401   -97.33      97.82       -87.91      474.33       340.9         0.041324    20151    0     
  38.4176    9.2065    11.6265   -121.26     324.79      -147.13     541.27       388.7         0.076331    21174    0     
  9.7196     25.8974   14.0196   -102.44     97.06       94.0        406.19       318.6         0.0035454   21323    0     
  43.5199    10.6281   12.6669   -22.52      442.42      52.55       419.24       301.4         0.075962    21614    0     
  45.365     11.4694   12.6668   -177.37     209.33      211.54      484.95       332.8         0.1291      23908    0     
  48.5295    12.581    13.2582   -208.2      298.17      27.12       610.54       468.1         0.01637     23920    0     
  44.7762    21.2799   14.5913   -42.13      132.4       -73.71      446.8        317.7         0.066106    24903    0     
  10.5009    19.1858   14.8902   71.14       411.35      -125.77     574.67       399.0         0.025043    26212    0     
  45.8295    41.2614   12.0499   103.07      -259.28     -381.94     645.53       411.7         0.2041      27292    0     
  5.5354     22.212    16.0081   440.86      305.99      113.09      417.71       312.5         0.045462    28050    0     
  11.975     19.7126   14.6804   -119.91     -68.53      -240.98     454.27       343.1         0.075538    28072    0     
  49.0787    38.614    13.5641   -10.1       -49.99      -216.18     469.42       346.0         0.074831    28232    0     
  35.9701    12.4815   12.4087   -60.22      164.62      -230.6      365.07       305.9         0.023494    28897    0     
  3.6437     29.3316   15.6652   20.91       -40.86      85.84       486.91       348.6         0.1245      29577    0     
  5.1191     47.7229   17.3493   -93.69      267.29      -16.31      385.98       306.6         0.024404    30147    0     
  42.8799    15.6602   16.3687   -96.59      93.2        -34.33      439.81       335.3         0.07064     30365    0     
  35.367     18.1613   14.1347   -120.89     128.15      -210.22     475.41       359.1         0.060979    30389    0     
  43.3776    2.5252    13.9866   -175.46     314.5       -190.65     519.34       427.6         0.018384    31149    0     
  7.7409     22.0901   17.4334   176.55      259.82      -165.82     767.96       596.9         0.1483      33154    0     
  12.8703    1.3737    12.0558   -120.87     74.97       -373.37     428.89       335.2         0.018433    33457    0     
  42.1384    41.5125   17.7372   -265.95     102.48      -284.06     381.45       311.2         0.012253    37674    0     
  29.4588    21.4728   20.1448   9.42        191.35      -108.55     695.38       498.3         0.062312    41818    0     
  33.622     13.2387   21.615    -18.45      326.94      -242.11     475.86       383.3         0.028465    43919    0     
  38.047     39.1604   20.1283   -5.61       518.7       -430.29     466.98       325.8         0.079808    45061    0     
  9.6949     10.0671   21.1328   -128.13     142.67      -281.95     423.43       340.1         0.01811     46170    0     
  41.492     14.2391   22.7073   200.21      25.38       -271.01     636.02       452.1         0.1483      47069    0     
  37.6982    45.4301   22.5921   -211.21     -116.95     -239.56     455.33       309.0         0.074176    47325    0     
  12.9465    25.2322   23.4449   -284.51     227.07      -85.32      356.2        303.9         0.02375     48428    0     
  4.049      27.3412   23.0804   154.85      207.6       -336.65     678.45       470.6         0.1387      50803    0     
  41.8544    12.6611   25.7883   -189.44     384.09      -310.24     455.08       336.0         0.010339    54324    0     
  10.4729    25.3179   23.4085   467.23      250.53      -164.56     928.01       670.6         0.062517    54907    0     
  31.5197    26.2753   25.2967   -102.55     179.49      -154.92     462.64       329.1         0.048305    54910    0     
  5.5671     0.0362    24.0304   -213.22     -206.83     -498.92     737.47       523.9         0.079665    56088    0     
  5.0995     27.9069   24.3509   102.49      316.74      -480.11     401.82       311.0         0.039628    56785    0     
  31.2175    32.0421   27.7987   57.59       34.56       -312.54     381.73       304.9         0.021253    58273    0     
  16.0604    26.8927   30.487    -415.47     -0.02       -197.25     558.09       431.5         0.016459    63449    0     
  45.8731    45.8489   36.3547   -191.38     501.25      183.34      616.65       460.2         0.051888    64495    0     
  6.7471     31.7937   30.1425   110.92      146.43      -305.1      403.32       307.4         0.07422     65317    0     
  45.9352    12.6587   35.1474   56.15       -129.44     -73.74      250.31       371.0         0.014298    67363    0     
  36.6654    12.9778   32.3421   106.51      180.66      -322.3      420.89       315.3         0.026607    68707    0     
  47.0568    11.3195   36.4978   -357.54     100.61      -165.9      454.23       366.0         0.023459    68713    0     
  46.7478    8.7963    39.4404   -122.33     57.15       36.49       566.84       401.4         0.093648    69590    0     
  13.3587    37.4811   36.0056   -511.22     -241.28     -436.1      493.53       391.7         0.024245    69868    0     
  33.7474    31.4578   35.2074   -59.98      187.88      -248.53     378.33       316.4         0.021994    70737    0     
  14.1643    26.2891   33.1582   -175.27     363.99      -228.47     442.44       362.2         0.018651    71095    0     
