# X(Mpch)    Y(Mpch)   Z(Mpch)   Vx(kms-1)   Vy(kms-1)   Vz(kms-1)   Rvir(kpch)   Vcirc(kms-1)  Xoff        Nhalo    Distinct/Sub
  28.0926    34.842    5.1093    -257.89     95.93       219.82      568.99       416.0         0.081255    229      0     
  26.1794    14.3151   6.519     -281.43     145.91      478.56      954.45       638.8         0.07193     953      0     
  39.7804    48.4065   6.1699    -63.25      -143.98     154.38      494.35       354.1         0.040571    1799     0     
  36.9545    12.5473   1.5372    -82.56      234.72      -48.49      387.01       333.5         0.021847    1859     0     
  11.2755    40.4212   5.0456    72.9        113.43      256.79      453.44       397.9         0.04755     2394     0     
  17.6992    47.6208   10.9507   55.39       -21.15      -3.26       569.16       370.0         0.1655      5794     0     
  24.3409    36.4524   7.2151    -39.77      51.06       115.76      778.22       567.8         0.082138    6471     0     
  8.9966     0.7075    8.1194    97.54       -352.68     23.2        473.7        344.7         0.0637      7253     0     
  37.4545    25.3968   6.0535    -133.44     31.71       -15.63      587.09       500.0         0.01571     7411     0     
  10.8218    23.5759   14.7286   -54.79      224.2       542.29      574.52       389.4         0.1145      7793     0     
  43.487     34.8314   8.7807    97.04       282.99      187.68      752.6        576.7         0.031318    8537     0     
  26.0912    10.8841   7.303     -28.4       313.26      -79.11      547.28       413.2         0.041541    9673     0     
  6.6928     30.1853   15.3076   -10.0       -85.44      283.27      826.05       655.4         0.030677    11930    0     
  8.6457     21.1406   16.4767   473.21      443.04      211.87      422.86       347.3         0.1433      12866    0     
  20.4183    45.009    11.6245   -315.81     165.95      -18.58      682.53       467.6         0.1309      13021    0     
  22.0738    34.4029   9.2141    52.18       273.6       9.85        423.3        351.8         0.017398    14282    0     
  47.9508    40.2559   10.3054   36.84       -183.13     274.36      644.93       486.6         0.038562    14370    0     
  32.8882    3.2596    8.0812    -253.19     167.27      -102.05     423.24       346.5         0.049434    14417    0     
  38.1632    10.5601   11.1927   -64.74      315.17      -61.17      476.5        374.6         0.046598    15471    0     
  43.9444    41.59     13.8485   52.36       -115.25     -30.25      385.87       334.4         0.031603    15703    0     
  10.5943    14.2698   13.1771   159.82      146.74      34.13       712.49       505.9         0.078707    16161    0     
  16.9667    16.2438   12.0031   44.52       42.31       -9.14       467.47       388.8         0.029061    17245    0     
  12.9275    18.6321   14.2539   -99.55      200.51      165.12      533.09       426.0         0.024506    17619    0     
  9.3548     26.2485   14.6445   -55.73      34.71       166.64      427.78       351.1         0.036854    17651    0     
  43.1764    12.2754   12.8217   -37.0       400.46      -124.93     562.82       382.4         0.1365      17924    0     
  47.535     14.2096   13.4374   -178.16     476.81      -52.99      653.07       503.5         0.02794     17952    0     
  44.2938    12.5314   13.0516   -347.97     253.54      137.48      484.98       348.0         0.021239    17954    0     
  26.9537    22.7027   13.949    -95.47      -111.55     148.75      459.33       335.5         0.0691      18036    0     
  23.7931    4.3965    9.7672    -162.12     209.94      -254.18     693.34       580.7         0.024024    18274    0     
  46.6194    40.4151   11.6111   171.94      -276.16     -366.65     613.08       439.8         0.08368     18576    0     
  44.9113    21.854    14.2333   44.58       135.63      -144.07     430.7        328.9         0.021567    21681    0     
  49.515     38.2652   11.8032   223.43      -102.71     -458.91     414.24       352.1         0.018401    22933    0     
  35.6356    13.3783   11.2602   -101.37     167.84      -278.99     367.58       307.3         0.015327    23122    0     
  3.7298     29.1106   16.3786   -1.38       52.23       264.61      420.69       362.7         0.024238    23669    0     
  34.7629    18.5904   13.201    -154.22     62.49       -194.12     448.47       373.6         0.023951    24339    0     
  4.7935     48.8758   17.248    -51.06      262.08      -19.85      364.0        310.9         0.002243    24537    0     
  42.6154    4.0186    13.0838   -202.58     364.66      -206.32     507.76       435.1         0.032317    24981    0     
  8.3296     23.2901   16.8563   51.78       198.12      -137.52     668.38       526.2         0.033678    26327    0     
  12.2584    1.5124    10.5906   -140.45     -13.71      -308.44     399.43       334.1         0.016953    27275    0     
  46.6342    25.3035   13.6237   -55.58      89.55       -171.59     426.36       335.2         0.104       27479    0     
  33.8156    1.7577    13.3616   -241.38     188.56      -305.38     344.21       300.6         0.028823    27684    0     
  42.5043    16.2591   16.3783   -38.65      272.68      -65.86      515.37       388.7         0.031036    27817    0     
  10.9331    20.5653   14.4987   129.28      136.07      -76.4       603.81       409.7         0.078278    29117    0     
  40.8962    41.8719   16.4393   -259.93     62.03       -254.97     357.42       302.4         0.030832    31906    0     
  28.9851    22.0777   19.3269   -34.56      131.32      -242.78     661.42       518.7         0.015007    34678    0     
  37.557     41.1853   18.3681   -149.53     473.76      -374.28     428.7        348.4         0.022244    36369    0     
  33.6635    14.4864   20.5352   12.62       310.78      -265.34     441.86       381.1         0.0067815   36942    0     
  9.1775     10.6907   19.7674   -61.04      198.72      -291.33     444.0        370.9         0.040449    37325    0     
  49.8059    48.8969   23.9787   -222.46     -145.02     -69.45      488.78       391.1         0.095764    38019    0     
  41.2279    14.9635   22.2874   -25.38      221.47      -160.08     701.83       523.0         0.0855      38520    0     
  5.1356     28.7264   22.0869   155.54      198.32      -285.88     714.95       535.9         0.080537    41283    0     
  37.1068    44.9295   21.3149   -136.34     -113.0      -326.36     374.53       301.1         0.034056    41457    0     
  31.082     26.8002   24.4832   -66.51      131.33      -168.94     426.11       340.8         0.01679     42124    0     
  10.2745    26.2359   22.2922   -61.62      180.42      -148.22     909.69       695.0         0.073232    43765    0     
  14.9555    25.7239   23.4867   -396.32     177.29      -251.94     847.15       693.0         0.0072938   43767    0     
  41.3388    14.3432   24.1099   -155.59     297.42      -395.01     429.57       343.6         0.012034    46067    0     
  42.8934    12.4567   26.6037   -223.76     368.77      -262.4      376.79       306.5         0.032223    47248    0     
  31.2264    32.1296   26.5097   -19.88      17.59       -224.2      359.73       306.2         0.0044725   48308    0     
  43.582     47.0116   31.7656   -59.26      185.91      110.02      419.03       309.6         0.080758    48850    0     
  7.1393     32.1764   28.9716   101.68      73.13       -274.24     375.35       311.1         0.023469    54128    0     
  44.9153    48.0651   37.2479   -335.82     590.58      330.05      575.88       442.9         0.071616    54193    0     
  44.9134    49.9743   37.4936   -268.71     -89.54      526.45      724.74       575.2         0.03125     55045    0     
  12.9767    27.6021   32.4543   -261.77     149.14      -430.13     629.02       426.1         0.2019      55688    0     
  14.3093    27.3596   29.4106   -407.12     119.87      -269.72     534.22       429.3         0.028942    55711    0     
  36.8504    13.7954   30.9958   103.8       179.35      -297.69     389.39       311.2         0.042121    57525    0     
  0.2175     37.2841   31.5361   78.13       69.42       -432.67     538.09       438.4         0.034335    59749    0     
  46.1544    8.9882    39.3764   -95.9       -25.73      20.35       507.27       413.4         0.016804    59926    0     
  45.6228    12.1734   35.3441   -120.8      342.19      -408.59     66.333       344.5         0.027168    60326    0     
  33.629     32.2724   33.9496   -45.23      140.43      -291.81     356.99       315.5         0.01338     62749    0     
  15.1016    40.5263   34.0452   -213.61     -108.26     -217.5      451.8        305.4         0.1243      63236    0     
  46.0405    12.3301   34.793    -101.55     14.15       23.06       642.82       452.9         0.050084    65461    0     
  14.119     25.8313   36.3301   21.43       117.27      -219.36     575.18       491.0         0.011297    65535    0     
  33.7183    24.9491   37.0152   -30.26      103.69      -316.02     376.47       302.8         0.041182    65538    0     
  36.1804    9.9283    40.2797   151.51      121.01      -125.62     543.36       433.2         0.011386    65778    0     
  32.5753    47.9735   37.9252   211.47      289.22      -173.68     439.88       356.1         0.018072    66045    0     
  13.4329    26.1169   37.1126   -56.86      305.81      -398.46     409.58       300.8         0.091796    66207    0     
  34.689     48.4839   38.4967   206.49      309.06      -208.1      385.02       308.7         0.035488    66734    0     
  42.8684    48.1931   38.9583   639.01      299.51      -243.22     471.0        370.5         0.030879    67071    0     
  42.6159    46.7009   38.9174   227.07      835.66      -272.34     528.86       397.2         0.035737    68069    0     
  7.8173     34.2631   32.3573   433.07      -78.4       -378.26     614.21       458.5         0.025715    68398    0     
  45.8243    6.5108    41.846    -294.7      202.72      65.61       886.16       662.4         0.042007    68534    0     
  27.1844    19.5131   38.0878   -24.21      123.77      -256.35     480.15       360.4         0.1852      69292    0     
  10.3728    33.4268   32.9336   -47.75      372.82      -428.67     865.1        684.5         0.040312    70797    0     
  12.0234    36.631    33.6683   -330.44     -211.87     -447.68     907.1        680.7         0.025294    71221    0     
  16.3307    45.4153   36.3256   -146.66     102.41      -487.13     495.3        407.9         0.026224    72735    0     
  14.506     24.5954   38.4715   -49.8       216.15      -412.8      866.56       654.5         0.024997    74055    0     
  16.1922    48.958    39.067    134.3       227.85      -470.72     449.41       335.2         0.030895    74669    0     
  39.9675    6.6512    43.7865   228.25      88.09       -66.51      604.6        478.5         0.061826    74723    0     
  3.8958     11.5347   45.1835   -253.97     261.83      -162.75     358.3        301.2         0.020867    75115    0     
  42.9796    4.3347    45.4118   -206.54     147.78      -133.35     722.02       520.0         0.036881    75480    0     
  30.5983    16.6543   41.6233   39.42       264.49      -270.7      452.27       345.4         0.078451    77083    0     
  38.4214    33.0767   44.7047   87.34       144.44      -172.97     627.18       462.5         0.050966    78377    0     
  36.606     17.5978   47.9823   127.61      54.47       -208.35     667.63       533.1         0.025177    78665    0     
  3.0257     15.531    46.8413   -106.64     88.73       -265.55     404.16       356.6         0.026845    79421    0     
  43.5426    2.3389    48.0136   186.36      25.74       -201.49     502.12       406.8         0.036422    79705    0     
  37.5129    14.4104   47.9454   20.92       154.86      -326.52     462.5        356.9         0.039285    85422    0     
  36.8084    39.3279   3.1145    22.52       60.54       367.8       370.14       301.6         0.029879    86678    0     
  26.7443    34.5492   1.5385    -126.08     4.48        432.23      426.75       308.4         0.039503    86807    0     
  49.7904    18.247    0.6678    -322.65     480.59      288.21      102.66       357.7         0.012582    88115    0     
  26.2539    35.1845   5.8809    -116.39     94.38       389.62      454.1        359.4         0.1078      88435    0     
  27.8342    14.2337   3.5232    -78.7       -26.29      410.48      454.66       384.3         0.010384    89902    0     
  49.667     18.8949   0.3077    -248.49     158.62      -170.17     649.19       467.4         0.042326    90971    0     
