# X(Mpch)  Y(Mpch)  Z(Mpch)  Vx(kms-1) Vy(kms-1) Vz(kms-1) Rvir(kpch) Vcirc(kms-1) Xoff      Nhalo    Distinct/Sub
  21.9259  13.1027  9.8774   -191.85   -326.99   0.19      1052.7     762.8        0.073391  15322    0     
  35.6202  42.9514  18.413   25.49     122.36    -171.33   1135.1     911.0        0.028202  47477    0     
  44.9595  46.9921  40.9746  300.58    82.72     -220.02   1061.8     811.8        0.056164  97321    0     
  58.5717  36.9153  4.7549   193.03    262.8     44.9      1106.6     822.6        0.034954  127442   0     
  63.4878  13.513   22.5653  -166.05   220.36    -238.88   922.17     753.2        0.057774  176474   0     
  121.3248 13.7141  10.2313  51.81     113.59    112.31    1024.6     775.9        0.050378  254320   0     
  117.4013 18.7819  11.0171  -765.43   530.24    -170.85   1021.0     726.4        0.1091    261882   0     
  122.4577 11.5432  11.5833  51.24     444.73    -47.51    1096.2     833.6        0.049108  263591   0     
  103.6132 27.9552  23.309   300.24    95.33     -567.61   880.72     744.6        0.090933  296939   0     
  109.0545 6.6004   28.2191  339.55    234.89    73.09     942.5      705.4        0.1712    313080   0     
  110.9601 0.624    33.0912  295.75    474.92    -453.53   970.3      775.1        0.019027  325589   0     
  111.8392 22.7068  48.7244  71.72     -107.86   -215.34   855.52     718.9        0.047085  367053   0     
  117.8843 25.5475  1.3541   169.32    -47.57    130.53    933.92     756.9        0.058395  375564   0     
  173.9837 12.396   24.8555  -2.44     -177.68   252.18    967.4      753.2        0.058583  418156   0     
  249.8297 27.6624  16.419   196.88    224.69    158.88    879.86     718.4        0.041825  508118   0     
  50.6662  50.0525  45.7503  -138.66   250.09    -106.88   1052.1     795.8        0.2151    795268   0     
  101.4739 91.2718  0.5664   618.83    -215.84   -84.41    916.76     708.7        0.066652  807442   0     
  135.3013 69.8821  27.4435  -590.88   4.61      -147.73   1077.6     734.3        0.044364  867598   0     
  135.0877 67.3538  27.6038  -111.37   84.42     -303.4    1184.3     945.0        0.043301  888570   0     
  226.3692 52.0912  28.0942  263.88    141.15    135.76    1226.6     943.7        0.050196  1114289  0     
  0.2523   138.8314 4.2276   94.4      -745.47   -58.7     969.67     813.7        0.07649   1173642  0     
  59.5285  144.9988 25.4375  -376.34   -222.37   106.93    852.76     708.4        0.041095  1323768  0     
  62.7432  100.6095 35.1959  -424.9    -259.63   133.38    1009.3     781.8        0.059451  1355206  0     
  58.2321  101.3954 36.9455  -73.43    -24.21    129.36    895.19     701.8        0.079198  1357731  0     
  174.4896 111.8213 40.9268  -207.96   -181.31   -770.61   1159.4     814.1        0.079353  1578513  0     
  234.3412 115.4505 41.9053  432.44    78.16     237.67    903.03     702.7        0.028483  1679897  0     
  27.2427  182.9189 33.6192  17.54     48.68     254.5     947.9      762.8        0.091222  1764355  0     
  27.3805  184.9257 44.5187  -205.88   67.88     476.74    877.09     719.2        0.039873  1783903  0     
  67.3791  199.1836 37.6238  -412.45   334.65    174.25    1338.5     963.4        0.071484  1876636  0     
  72.1182  176.9641 37.0092  -295.68   -2.14     223.73    895.23     705.6        0.043154  1880264  0     
  188.2093 166.7319 1.9643   -64.43    98.45     -296.91   951.33     712.2        0.044597  2008985  0     
  241.5349 153.0853 39.006   -25.82    -445.64   371.55    997.85     751.6        0.098399  2150522  0     
  6.9723   236.9415 6.8438   -120.95   -127.72   -157.89   904.02     701.5        0.086714  2206208  0     
  3.3225   203.7188 9.2259   342.32    -124.55   76.56     1041.8     773.1        0.040252  2206457  0     
  155.1357 236.1514 15.9585  73.51     1004.21   1.59      871.06     712.7        0.037923  2521603  0     
  170.4296 244.2812 17.9864  455.77    340.88    290.39    924.28     774.5        0.080379  2525098  0     
  216.5126 236.5569 2.2181   -9.68     183.38    23.45     869.19     712.4        0.1239    2603421  0     
  211.6005 238.1529 3.8446   373.48    460.2     -105.13   980.38     762.3        0.096314  2607158  0     
  55.753   48.781   77.3463  110.26    -39.74    46.29     990.73     772.8        0.028468  2849276  0     
  65.0035  49.852   79.3605  -176.68   335.29    -154.54   1000.2     810.3        0.050337  2861652  0     
  80.1449  46.2512  91.4991  -113.05   -239.94   -351.29   1012.1     768.0        0.092924  2891683  0     
  95.3252  37.0644  94.4326  103.82    185.43    -13.4     888.3      749.7        0.075718  2893646  0     
  117.961  16.1236  56.1834  597.22    100.41    -61.74    982.21     786.6        0.051882  2922740  0     
  152.141  9.0548   74.8762  486.46    57.45     2.31      1081.6     875.9        0.049183  3064115  0     
  161.078  4.8449   76.4433  -41.42    124.05    -128.71   1244.5     978.7        0.046423  3064612  0     
  183.3813 43.1033  77.1447  -314.04   305.07    -363.52   951.76     714.1        0.085478  3072177  0     
  200.2923 27.9002  77.0614  226.86    53.25     -23.46    908.4      752.2        0.020975  3177887  0     
  57.5     60.9573  91.7109  -82.19    100.61    -321.1    980.87     758.0        0.038409  3426450  0     
  183.9226 66.6712  52.4168  -148.69   -651.88   176.24    1025.2     834.2        0.1114    3534298  0     
  192.6445 65.9373  85.6436  174.21    -205.21   -349.77   1182.4     968.2        0.029229  3607005  0     
  175.5792 53.9952  89.3818  251.83    -101.44   -128.45   963.36     826.0        0.065653  3615369  0     
  202.4505 55.9779  62.5394  305.83    -80.97    9.64      926.53     720.7        0.023179  3663493  0     
  237.6972 96.438   62.5394  260.49    23.43     -525.74   918.29     702.2        0.029452  3677895  0     
  20.9125  144.5711 55.0728  174.07    3.17      -148.23   828.45     700.2        0.1231    3765319  0     
  64.1253  133.9833 69.5365  -216.43   368.81    -104.19   1105.0     861.1        0.015967  3923784  0     
  99.8654  134.5783 90.428   -170.58   -115.26   162.62    939.0      773.4        0.045429  3953664  0     
  123.2284 141.6764 72.5513  -270.62   -37.19    72.58     964.47     740.4        0.035373  4024625  0     
  233.4659 149.4877 62.8164  39.72     -95.82    -147.34   890.74     719.7        0.01196   4190351  0     
  204.2543 142.0113 68.624   396.3     -206.01   132.31    935.35     740.8        0.095072  4200229  0     
  223.8114 132.5126 66.2345  99.9      77.05     -105.03   1129.0     821.4        0.1496    4201930  0     
  215.8038 133.2491 74.6931  -97.84    143.68    -595.45   866.37     722.8        0.0067137 4228295  0     
  203.554  128.2751 80.8206  151.24    -22.59    -423.72   1069.2     838.2        0.053119  4237129  0     
  42.5579  158.7583 60.2468  -0.33     118.66    144.51    966.22     716.6        0.121     4300594  0     
  29.6332  168.9529 61.5198  353.77    144.65    368.54    1017.6     769.4        0.1026    4320162  0     
  49.88    169.5009 84.4297  76.1      -556.67   -24.44    1083.2     784.9        0.03663   4370962  0     
  36.9888  196.661  99.1289  -23.89    -647.68   220.63    1287.8     967.2        0.146     4402262  0     
  9.0166   191.3613 97.7216  -116.92   27.82     -134.08   925.13     709.6        0.0034826 4411282  0     
  39.4886  196.5149 98.0663  -759.77   -159.96   133.26    992.3      726.9        0.1237    4414013  0     
  26.6313  191.5889 99.1364  -411.66   -435.54   -41.28    1165.3     863.8        0.046838  4415536  0     
  69.4881  193.2881 66.2652  -417.48   -274.49   215.01    1085.8     875.0        0.027213  4454271  0     
  50.4194  166.9948 84.9563  -139.36   286.86    30.62     1090.8     860.2        0.048863  4492255  0     
  51.6162  164.3282 93.8857  48.58     -269.47   470.91    1848.4     1355.0       0.063922  4524652  0     
  129.2527 198.0577 73.7517  237.94    225.36    78.58     867.31     706.3        0.027104  4582991  0     
  216.2574 159.5662 69.7036  627.5     -423.1    254.12    1092.7     860.9        0.07913   4807104  0     
  78.0905  235.5668 63.063   245.71    -22.46    186.04    960.59     745.5        0.039929  5011701  0     
  174.223  236.0483 72.9253  52.68     61.67     38.09     1066.3     858.1        0.029079  5238048  0     
  188.3515 224.0694 95.3793  -20.29    145.42    85.97     1062.4     818.7        0.045984  5294745  0     
  170.3362 202.3167 99.7927  -68.23    106.62    100.16    975.98     850.5        0.038234  5298674  0     
  222.356  225.5078 50.5515  -111.13   -20.38    51.91     901.25     704.6        0.030143  5311011  0     
  236.5284 243.0913 66.5133  -69.86    -24.24    -119.68   1045.0     845.4        0.056007  5353206  0     
  206.857  239.1971 93.3765  -17.54    143.9     209.6     1072.9     824.2        0.079165  5393194  0     
  7.5024   34.2759  145.0245 219.6     241.08    250.44    1097.5     827.6        0.076814  5509309  0     
  75.1088  8.1408   114.3289 -576.22   184.43    -286.64   937.71     712.6        0.077646  5564801  0     
  221.3154 16.3046  145.4806 180.92    -29.87    147.37    925.1      711.5        0.1095    5941278  0     
  138.7402 63.0764  115.8562 22.94     4.04      234.48    1107.5     816.3        0.1264    6188457  0     
  125.0363 51.8588  117.8027 249.27    192.05    -70.78    998.33     805.6        0.017834  6208100  0     
  140.1755 82.3056  138.3586 53.89     105.56    99.0      953.98     719.0        0.1104    6258278  0     
  173.0669 62.914   108.4165 0.77      -408.96   94.81     947.21     779.6        0.044564  6294307  0     
  169.4453 72.2806  138.026  -143.27   494.33    -237.08   1050.3     819.4        0.047468  6379064  0     
  202.4595 52.9348  132.9518 26.16     -7.72     577.46    1028.3     781.1        0.1818    6456892  0     
  95.4784  102.1266 128.6159 -124.58   253.02    0.83      948.38     715.9        0.1651    6613520  0     
  70.899   122.2058 135.1612 414.56    117.93    -209.12   985.84     778.8        0.025658  6632575  0     
  116.5248 123.0852 114.3398 -324.2    278.4     -48.73    1094.3     826.3        0.066668  6696406  0     
  115.6405 111.1743 133.3053 -189.8    -387.01   168.06    898.38     708.2        0.1894    6731385  0     
  115.1581 108.282  136.2402 375.44    -394.76   16.87     1304.3     1031.0       0.073868  6746770  0     
  181.5715 119.2269 134.2549 173.4     -143.1    571.19    1079.5     843.6        0.038882  6818111  0     
  33.4375  177.006  101.1258 -901.38   690.49    -416.36   1385.7     1043.0       0.063535  6971532  0     
  49.007   161.8276 108.8517 -167.16   351.42    -831.83   1025.0     778.6        0.042163  6997284  0     
  43.7965  194.0512 112.1139 -81.32    -313.61   -484.3    1113.3     875.1        0.070495  7007359  0     
  50.3631  197.1941 113.3973 -312.39   -519.58   -278.6    890.16     737.0        0.06589   7111967  0     
  214.1661 152.8855 105.7671 491.61    -61.2     -186.09   855.6      706.0        0.021627  7381119  0     
  30.1667  249.9309 121.3477 -72.75    251.48    26.4      940.71     742.4        0.092776  7515888  0     
  148.0951 207.6271 145.6516 138.41    425.32    945.61    1149.6     819.6        0.1299    7730919  0     
  148.3979 207.8386 148.0825 -512.77   271.84    -754.51   1282.2     943.1        0.047357  7745874  0     
  6.4835   39.5989  150.1809 -80.41    186.8     61.54     851.35     712.0        0.012968  7979553  0     
  20.8805  31.7645  151.1104 -644.72   286.09    243.12    1785.7     1388.0       0.035214  7980108  0     
  45.2501  42.7972  188.9086 -586.62   -27.74    -52.19    936.46     733.6        0.068004  8069880  0     
  144.7525 27.1073  177.5406 104.18    123.45    -5.04     1119.2     817.6        0.098283  8240564  0     
  133.9768 44.934   180.435  285.47    488.31    306.34    1303.1     960.7        0.1203    8248144  0     
  112.0549 12.8449  197.252  103.32    -189.2    119.95    1001.4     767.6        0.01724   8275236  0     
  241.8    24.1259  179.5252 -71.04    351.78    319.63    949.83     751.3        0.052466  8444198  0     
  6.326    70.1916  166.4952 -193.76   76.61     134.2     1004.6     777.6        0.055715  8549970  0     
  58.4921  51.7582  154.0972 -73.03    281.22    125.95    1008.2     781.7        0.051365  8619461  0     
  124.8007 61.8546  158.5812 -210.65   -591.95   136.47    1084.2     740.0        0.1364    8726025  0     
  137.9362 55.5625  180.8692 118.72    -178.16   -255.69   964.87     750.2        0.044894  8785126  0     
  144.1047 50.2824  186.3119 -537.93   139.89    -292.54   989.38     719.0        0.1414    8811251  0     
  203.3987 97.8945  151.275  41.98     -12.78    668.93    1040.6     844.1        0.055281  8938795  0     
  204.4    98.5406  177.098  -23.83    26.19     -18.53    945.95     784.8        0.025478  9014635  0     
  238.1476 59.2993  186.3693 67.9      -203.23   25.24     960.32     746.2        0.02945   9036914  0     
  31.9643  136.6134 181.7769 -734.17   344.36    -339.17   1104.4     762.8        0.025793  9134739  0     
  44.4768  146.0181 187.6675 -480.63   87.52     -98.39    1090.8     789.7        0.1334    9164913  0     
  30.2735  100.2609 198.6499 -17.18    200.07    329.55    989.02     759.2        0.014603  9170605  0     
  124.2027 105.1248 170.9671 284.51    -229.0    204.57    925.28     723.4        0.039414  9316525  0     
  162.8195 135.7993 185.332  332.58    -135.51   -67.73    994.12     746.5        0.097187  9462921  0     
