# X(Mpch)    Y(Mpch)   Z(Mpch)   Vx(kms-1)   Vy(kms-1)   Vz(kms-1)   Rvir(kpch)   Vcirc(kms-1)  Xoff        Nhalo       Distinct/Sub  
  28.6184    34.8443   4.4901    -188.34     221.06      354.49      74.834       185.0         0.019602    3298.0      512.0         
  24.7473    35.8435   6.4579    -85.49      71.97       570.9       328.95       293.6         0.063354    8113.0      2212.0        
  26.5244    14.1569   5.7029    -110.98     251.04      -108.86     149.05       351.6         0.1284      2020.0      3102.0        
  39.7845    48.9143   5.6662    -105.25     -320.78     211.24      202.71       238.4         0.041834    2653.0      3714.0        
  37.1755    12.118    1.5448    -467.19     319.08      102.84      163.81       103.4         0.024507    4500.0      4168.0        
  37.7733    25.2605   5.9789    305.54      -610.38     314.85      88.402       150.7         0.043003    5019.0      8060.0        
  26.6038    10.2444   7.3902    -219.9      672.04      -5.34       204.54       255.2         0.1168      14973.0     10140.0       
  10.9656    23.4233   13.353    -111.46     161.91      535.26      308.85       265.2         0.112       8403.0      10245.0       
  8.7286     1.1626    7.9224    248.3       -383.27     -91.31      317.92       210.6         0.029869    4851.0      10821.0       
  43.1743    34.1411   8.3402    59.85       195.11      31.65       184.49       280.0         0.039127    10647.0     11034.0       
  20.9147    44.4443   11.4073   -497.39     217.25      -125.34     105.84       310.6         0.014851    18260.0     11111.0       
  47.557     40.7389   9.9155    65.12       -296.71     283.66      146.44       215.2         0.041453    12239.0     12250.0       
  21.9501    33.6533   9.3732    192.42      -28.26      91.92       219.25       93.18         0.044116    10285.0     14432.0       
  44.9258    11.954    12.7725   -239.91     212.22      80.19       41.974       168.9         0.1697      18384.0     14996.0       
  33.2092    2.8106    8.4361    -621.9      222.09      -134.88     148.64       95.23         0.045021    10069.0     15296.0       
  7.1017     30.0424   14.407    -231.52     498.2       519.58      228.4        216.1         0.011355    23123.0     15951.0       
  11.0248    14.1019   13.0705   231.39      437.75      -232.69     338.17       213.7         0.027164    9833.0      16538.0       
  38.2843    9.9793    11.5793   17.41       -43.21      -227.41     206.04       192.9         0.074217    26584.0     17226.0       
  13.0031    18.4284   13.9433   36.03       234.82      305.68      279.97       184.1         0.1913      6829.0      17706.0       
  17.8534    46.8345   10.705    -119.41     569.78      272.91      306.02       309.4         0.1721      7400.0      18261.0       
  43.736     41.7705   13.7931   -1.15       -47.64      -390.45     162.75       87.56         0.027487    23953.0     18263.0       
  25.8981    14.8545   7.8173    -444.77     88.76       -200.78     297.56       134.8         0.055603    11342.0     18469.0       
  9.5555     26.0171   14.3255   -205.85     181.01      44.85       140.9        157.1         0.1073      19347.0     19758.0       
  15.9907    49.9832   9.8531    -195.27     362.44      315.63      218.97       132.8         0.0088904   21573.0     19944.0       
  43.6481    11.6705   12.6782   -397.71     419.85      -238.78     219.95       133.9         0.054242    23666.0     20445.0       
  48.1176    13.5773   13.3331   352.27      362.06      -0.72       326.49       218.1         0.025597    20037.0     20880.0       
  49.0854    38.4996   13.0081   34.34       65.89       -340.24     239.73       108.0         0.1492      24717.0     21944.0       
  46.0732    40.7836   12.1822   -28.87      -200.53     -240.59     489.94       294.1         0.08413     15252.0     21968.0       
  6.4302     22.8943   16.1448   633.49      347.92      25.82       188.23       113.9         0.094497    22582.0     22190.0       
  16.822     16.1164   12.2402   158.44      -122.0      -12.3       313.47       164.8         0.1119      15434.0     22567.0       
  11.407     19.7851   14.3631   -429.79     78.05       -49.27      83.711       215.8         0.1638      28888.0     24180.0       
  44.7849    21.4472   14.3895   -216.28     687.51      -25.44      140.31       130.9         0.044608    28484.0     24990.0       
  35.1935    18.345    13.8279   -195.44     22.66       -244.75     126.49       156.2         0.1927      24979.0     25854.0       
  35.8444    13.0203   11.7411   -267.88     -51.21      101.41      211.75       150.8         0.031161    18826.0     26193.0       
  3.66       29.171    15.8054   -256.09     -291.95     97.84       45.238       150.8         0.040679    22297.0     26851.0       
  24.0405    3.9888    10.7176   329.68      421.46      62.67       292.29       143.2         0.016894    29197.0     27911.0       
  3.6525     27.2098   19.1534   389.67      390.65      -319.44     71.393       208.2         0.080996    35145.0     28931.0       
  43.4841    3.0075    13.5676   -375.88     617.27      -196.33     124.69       87.9          0.026887    23229.0     29183.0       
  12.4883    1.2114    11.4568   -389.39     -195.83     -489.92     161.16       84.12         0.0643      24038.0     29588.0       
  42.524     15.8646   16.8741   -1.08       241.37      -344.74     88.518       271.1         0.1685      31464.0     30585.0       
  10.3998    19.9074   14.3163   59.94       427.1       -31.62      190.26       143.4         0.023876    24147.0     30591.0       
  7.5327     23.0732   17.0182   193.99      161.29      -238.77     239.89       225.7         0.018781    24584.0     31099.0       
  37.5692    42.4481   17.261    -408.28     -550.78     452.47      109.74       85.16         0.036082    24386.0     31316.0       
  29.3038    21.5219   20.2012   -331.32     -2.54       -686.07     132.39       226.2         0.035961    37464.0     36502.0       
  15.6552    24.9871   24.5675   -387.81     346.88      -332.25     146.03       133.9         0.030536    40438.0     37453.0       
  33.8485    13.8696   21.0935   -290.65     352.95      91.0        213.16       96.9          0.0096635   40321.0     39883.0       
  41.0208    14.5612   22.617    9.0         -272.21     -63.9       165.18       209.1         0.03466     40299.0     41203.0       
  37.693     40.2344   19.4055   -405.03     677.43      -306.76     195.95       91.52         0.01788     40499.0     41351.0       
  9.4487     10.3335   20.5161   -64.69      586.18      -346.61     67.526       166.6         0.04137     43944.0     43181.0       
  12.1883    25.7383   23.1708   -427.26     226.35      -101.92     6.606        101.3         0.149       44459.0     43670.0       
  4.535      27.8114   22.766    201.07      228.21      -366.66     167.35       319.0         0.011063    44083.0     45798.0       
  37.4702    45.1681   21.7894   -16.74      80.65       -370.14     63.686       75.89         0.046442    45525.0     46877.0       
  10.5064    25.7354   22.8637   -730.21     -90.6       -538.6      32.155       204.3         0.039439    48851.0     48009.0       
  41.7687    13.3561   25.1031   -129.94     96.11       -271.09     66.175       145.2         0.023625    47854.0     49104.0       
  31.2992    26.4556   24.9778   -408.9      16.78       180.56      117.71       104.7         0.020581    42937.0     51891.0       
  43.7963    46.6408   31.7567   -243.8      395.6       191.66      119.4        146.0         0.070964    49452.0     52075.0       
  43.4438    11.3591   27.268    -251.87     488.69      -493.96     161.19       96.68         0.050624    48256.0     53035.0       
  14.9516    27.131    30.171    -12.31      88.57       -548.94     183.39       146.4         0.023308    62784.0     59435.0       
  6.8901     31.8512   29.8976   112.39      -38.11      -410.97     158.46       127.5         0.060003    58995.0     59480.0       
  45.4891    46.5602   36.2205   -685.87     571.31      430.68      257.07       196.0         0.1989      62483.0     60401.0       
  13.637     26.8634   33.1124   -325.88     199.14      -764.1      236.84       123.1         0.035844    70616.0     61479.0       
  36.6623    13.5617   31.9952   10.83       232.57      -359.68     187.48       133.3         0.034083    59293.0     62240.0       
  45.9448    12.4725   34.8159   98.8        -153.45     -59.14      211.08       316.1         0.139       71691.0     64375.0       
  33.6795    31.8209   34.7051   50.81       465.91      -763.15     75.922       80.55         0.1013      69109.0     64948.0       
  46.4099    11.5536   36.2046   238.69      614.15      -352.58     226.77       218.8         0.056676    63466.0     65654.0       
  46.3817    9.1037    39.1872   -286.98     -225.2      253.32      308.88       188.4         0.046607    65621.0     66900.0       
  15.2416    40.7643   35.1755   -399.51     -117.19     -228.21     109.07       205.9         0.04111     62073.0     68017.0       
  13.4665    26.7149   33.5363   -176.91     237.05      -313.29     87.327       197.3         0.1241      67457.0     68667.0       
