# X(Mpch)    Y(Mpch)    Z(Mpch)    Vx(kms-1)   Vy(kms-1)   Vz(kms-1)   Rvir(kpch)   Vcirc(kms-1)  Xoff        Nhalo       Distinct/Sub  
  21.8084    13.6887    9.2081     -842.6      101.08      668.38      183.13       245.7         0.012711    18613.0     12008.0       
  0.2087     28.6241    17.3936    596.15      14.49       -191.47     41.973       200.0         0.030525    33171.0     25869.0       
  36.0815    43.1653    18.8786    -415.38     -317.1      -1213.6     259.34       193.9         0.020567    43795.0     31070.0       
  16.5407    24.9223    24.4034    -654.98     161.33      -274.67     136.1        356.3         0.1074      53572.0     42318.0       
  44.9684    48.3959    40.756     229.59      -183.27     -706.22     251.19       322.9         0.0093209   80343.0     79934.0       
  59.7584    37.7123    5.0573     -458.97     -287.53     55.08       110.28       335.1         0.025848    110491.0    107963.0      
  61.9967    14.3035    21.4635    -380.37     294.66      -602.6      132.92       377.1         0.037197    153820.0    146540.0      
  64.1526    35.5101    3.4295     -896.8      465.43      -222.76     170.86       398.6         0.032795    194576.0    192054.0      
  116.8937   19.1974    10.9267    -178.99     -126.96     126.09      167.15       460.1         0.021933    210583.0    214401.0      
  122.376    13.6865    10.7009    601.39      103.19      -144.9      301.96       675.6         0.1027      213315.0    218564.0      
  100.0796   41.1497    13.0781    244.67      -707.99     131.25      70.013       227.6         0.073854    235708.0    233089.0      
  104.9394   27.5912    22.3641    659.71      -140.01     -496.54     48.077       300.9         0.091163    259681.0    249727.0      
  124.8702   10.7915    31.291     200.89      -10.45      908.89      111.95       342.8         0.081318    262948.0    262499.0      
  110.187    8.3066     27.9213    441.89      219.65      -204.44     344.36       191.4         0.092107    248878.0    262884.0      
  112.0049   2.3468     32.109     620.39      779.86      -835.12     73.024       288.5         0.042984    268156.0    264633.0      
  124.0647   5.3894     35.9879    879.72      654.72      -241.68     244.8        474.5         0.020704    268648.0    277051.0      
  109.5998   23.192     43.7402    -62.05      411.5       143.47      139.03       380.4         0.065634    288743.0    294114.0      
  111.3617   22.679     46.0728    12.38       -167.99     42.85       144.53       358.4         0.017198    300750.0    308401.0      
  173.4075   11.3742    25.6369    1037.69     548.45      -86.9       121.29       352.0         0.028949    365195.0    352093.0      
  171.2652   21.894     31.3755    626.3       544.02      563.14      169.37       274.8         0.023653    367775.0    366576.0      
  175.8864   2.7178     27.96      874.5       340.51      -186.44     199.79       206.3         0.022302    362922.0    373025.0      
  223.9334   35.1227    10.4071    -16.78      487.34      448.61      338.46       255.9         0.021303    417934.0    424596.0      
  34.4622    72.0328    44.9372    837.64      1040.78     -114.64     265.76       247.6         0.1374      580588.0    583552.0      
  49.424     50.6163    44.5808    -570.64     396.21      -228.9      218.45       324.3         0.044356    587094.0    588959.0      
  61.2895    100.1619   35.6568    -1017.98    -167.86     1160.19     293.82       547.9         0.045929    1127931.0   646950.0      
  84.9592    77.4847    44.016     278.71      -241.32     -395.56     219.79       275.4         0.033624    653216.0    658048.0      
  104.5717   88.1982    1.1852     -342.69     34.72       -129.83     319.1        360.9         0.021235    680249.0    682506.0      
  134.5493   67.553     26.5253    98.84       499.52      -596.4      204.15       508.8         0.018762    727588.0    744718.0      
  102.9183   90.1476    0.377      585.31      -340.74     253.41      273.0        401.8         0.049       789505.0    791561.0      
  161.7365   88.8943    33.9073    1159.56     -85.33      38.21       147.63       434.2         0.0048207   856197.0    854752.0      
  226.5743   51.8813    28.061     526.76      971.13      1334.43     171.75       442.4         0.081333    940918.0    934771.0      
  0.318      137.1285   4.0073     497.09      -425.52     -145.71     282.82       172.2         0.033048    986414.0    989230.0      
  8.0285     113.2974   21.1318    743.97      1000.03     -235.75     115.94       295.3         0.026768    1014657.0   1018937.0     
  3.9008     107.0366   49.322     -870.32     -552.05     -532.82     87.971       378.4         0.04027     1068886.0   1067673.0     
  37.5512    136.4172   49.19      816.72      367.14      108.36      245.05       256.9         0.043879    1072150.0   1074230.0     
  59.6019    141.6771   35.1263    -521.28     -1044.76    1027.0      222.9        281.1         0.061372    1130173.0   1134362.0     
  117.6824   127.0477   22.255     -633.08     -97.42      542.59      149.09       380.7         0.018086    1188034.0   1196856.0     
  168.8398   134.6381   17.9777    553.12      -484.89     -505.72     165.57       445.3         0.061223    1275296.0   1272605.0     
  174.6461   111.0599   38.8572    1405.22     -521.86     253.42      98.451       408.8         0.03495     1310852.0   1316334.0     
  244.5742   130.9853   40.4796    511.61      59.68       389.92      112.35       234.8         0.042794    1404771.0   1410345.0     
  249.9112   103.2187   48.517     0.27        -61.95      686.14      321.42       168.7         0.020688    1404960.0   1416744.0     
  236.9466   115.2282   45.8476    -9.58       -124.85     200.16      316.12       324.0         0.165       1408224.0   1421144.0     
  27.148     183.1287   33.9124    -159.93     -232.18     1186.92     214.72       371.1         0.014598    1469199.0   1475891.0     
  27.9476    185.657    46.5161    218.98      186.36      568.56      158.24       512.4         0.035144    1496282.0   1493798.0     
