# X(Mpch)    Y(Mpch)   Z(Mpch)   Vx(kms-1)   Vy(kms-1)   Vz(kms-1)   Rvir(kpch)   Vcirc(kms-1)  Xoff        Nhalo      Distinct/Sub  
  27.6071    35.0075   5.0785    -377.41     204.23      234.37      225.11       152.3         0.020764    4022.0     229.0         
  25.6718    14.3711   6.8255    109.35      -356.09     -427.04     150.92       455.2         0.023057    14205.0    953.0         
  39.7672    48.3916   6.1738    -102.84     -211.8      161.61      20.245       195.4         0.070227    3447.0     1799.0        
  37.0518    12.5227   1.5347    4.47        495.97      -331.83     99.161       89.36         0.02802     3837.0     1859.0        
  11.4581    40.0833   4.8755    -184.13     499.75      249.57      220.88       162.8         0.036774    4034.0     2394.0        
  17.8873    47.323    10.9946   91.32       262.35      145.07      270.7        310.9         0.020979    18183.0    5794.0        
  24.7126    35.9095   7.0624    15.97       59.37       257.16      262.85       207.5         0.028604    11948.0    6471.0        
  9.1811     0.7264    7.9298    -50.72      2.49        221.69      264.86       207.4         0.060411    4860.0     7253.0        
  37.4408    25.0204   5.8165    -35.96      403.32      217.91      171.97       157.4         0.014724    4618.0     7411.0        
  10.8924    23.547    14.7489   -245.11     330.34      548.88      78.902       243.4         0.097388    4966.0     7793.0        
  43.4155    34.5578   9.0891    866.72      129.97      120.9       230.22       264.9         0.043073    2702.0     8537.0        
  26.0989    11.0191   7.1684    -574.53     650.84      -398.94     55.914       180.6         0.1392      12080.0    9673.0        
  6.4048     29.9422   15.6026   421.04      -24.99      157.31      273.69       194.7         0.025101    22510.0    11930.0       
  8.7374     21.1085   16.3949   514.33      362.28      237.14      126.98       277.9         0.058668    13872.0    12866.0       
  20.1588    45.2859   11.5262   44.06       190.96      147.18      113.55       313.0         0.013931    14361.0    13021.0       
  22.0207    34.5331   9.1622    -291.22     398.52      240.17      140.9        87.97         0.033945    9495.0     14282.0       
  47.9249    40.2753   10.1283   633.51      -667.21     254.37      153.39       167.6         0.016257    8948.0     14370.0       
  32.8275    3.4418    7.9281    -366.32     529.92      -126.27     147.99       101.1         0.032898    20459.0    14417.0       
  38.158     10.5453   11.1538   -98.94      178.47      -412.08     41.315       134.2         0.1646      24226.0    15471.0       
  43.8712    41.705    13.764    180.77      -187.63     282.57      154.76       79.73         0.027443    21840.0    15703.0       
  11.0076    14.466    12.9131   589.91      481.22      433.89      237.98       219.7         0.032093    24263.0    16161.0       
  16.9243    16.3465   12.0541   179.31      -258.4      172.81      122.14       154.6         0.051396    13515.0    17245.0       
  13.0093    18.6342   14.2919   -300.12     129.72      -39.07      89.625       93.63         0.084694    6329.0     17619.0       
  9.7432     26.3118   14.5016   -132.27     110.51      176.77      135.74       119.3         0.0091902   19917.0    17651.0       
  43.3685    12.6365   12.6749   101.42      364.36      42.6        230.05       254.8         0.012242    24642.0    17924.0       
  47.4339    14.157    13.2996   -662.13     -95.79      319.44      178.7        252.6         0.034834    20877.0    17952.0       
  43.9305    12.4801   12.9908   -150.25     528.55      -434.76     371.54       206.8         0.037826    24636.0    17954.0       
  26.952     22.6362   14.0208   50.64       94.32       -418.43     97.896       233.9         0.0062236   23606.0    18036.0       
  23.8271    4.5397    10.1362   -204.2      273.59      -8.41       396.12       135.7         0.092099    23427.0    18274.0       
  46.7818    40.504    11.5528   447.88      -304.49     18.81       78.849       274.4         0.029472    14722.0    18576.0       
  44.8844    21.9303   13.9993   -299.03     15.84       71.2        161.43       113.0         0.052344    16548.0    21681.0       
  49.5094    37.9872   11.8829   -69.71      33.66       -75.92      129.64       99.96         0.026407    27568.0    22933.0       
  3.6106     29.1952   16.4042   114.9       -262.67     242.41      148.38       117.1         0.03945     18876.0    23669.0       
  34.8401    18.5494   13.2065   508.16      208.6       -69.43      87.432       124.7         0.021353    22413.0    24339.0       
  5.012      48.8645   17.0975   -406.25     249.93      78.04       116.26       75.54         0.039606    26831.0    24537.0       
  42.584     4.281     13.0979   -423.09     -159.4      -387.11     260.18       126.1         0.026472    26170.0    24981.0       
  8.553      23.3199   17.1149   142.2       421.36      42.85       198.62       204.8         0.019016    23175.0    26327.0       
  12.3438    1.2292    10.5343   -459.65     317.99      -246.36     115.61       92.09         0.025045    24599.0    27275.0       
  46.5465    25.2513   13.6764   121.71      228.45      -244.23     114.83       234.7         0.1169      23609.0    27479.0       
  42.5167    16.2019   16.3433   20.22       101.21      -194.02     68.262       275.1         0.1214      28659.0    27817.0       
  10.4706    20.2135   14.4401   -139.76     401.36      143.78      252.51       335.2         0.0077162   21328.0    29117.0       
  40.8446    42.107    16.536    -149.53     -90.4       -174.53     128.8        107.1         0.019086    33616.0    31906.0       
  29.0235    22.4832   19.0406   -3.43       209.29      -8.58       257.11       194.5         0.029579    34694.0    34678.0       
  37.4638    41.3735   18.0677   -125.95     494.02      -665.53     101.7        91.07         0.04299     37105.0    36369.0       
  33.3754    14.3042   20.3866   143.52      304.17      -400.09     84.421       89.16         0.047047    36184.0    36942.0       
  9.1858     11.0747   19.8721   100.4       383.6       -522.81     136.6        104.9         0.028744    36133.0    37325.0       
  49.7247    48.5712   23.6835   62.17       -206.56     306.6       340.47       222.6         0.015515    30147.0    38019.0       
  41.3905    14.7297   22.0481   50.48       -80.53      -321.96     250.63       283.0         0.067225    40389.0    38520.0       
  4.9627     28.4394   21.9698   281.87      306.99      -243.62     149.86       219.6         0.03396     47831.0    41283.0       
  30.8887    26.7505   24.4778   148.22      226.17      -11.35      192.42       91.33         0.014348    42118.0    42124.0       
