# X(Mpch)  Y(Mpch)  Z(Mpch)  Vx(kms-1) Vy(kms-1) Vz(kms-1) Rvir(kpch) Vcirc(kms-1) Xoff      Nhalo       Distinct/Sub
  21.491   12.8263  9.7256   269.72    696.06    -187.26   238.87     525.0        0.019852  28823.0     15322.0     
  35.5606  43.0584  18.5137  320.53    -483.63   -644.65   158.32     266.4        0.030608  41127.0     47477.0     
  45.4415  46.4282  40.5046  -844.96   891.65    173.81    433.17     426.4        0.044284  94146.0     97321.0     
  57.7979  37.5542  4.9762   474.46    -798.32   -38.7     140.16     389.4        0.011189  134263.0    127442.0    
  63.6213  13.2287  22.806   -635.58   -248.33   6.16      354.59     342.4        0.028655  175914.0    176474.0    
  121.4481 13.5135  10.1485  231.33    -999.07   286.17    98.557     264.6        0.050306  241624.0    254320.0    
  117.0944 19.0377  10.8917  290.15    -198.69   -94.86    182.3      438.3        0.1025    269199.0    261882.0    
  122.4372 11.4084  11.7592  57.26     807.08    -781.04   222.52     451.4        0.060342  260605.0    263591.0    
  103.4947 28.0114  23.3747  278.88    -35.64    747.12    146.61     318.9        0.036112  296896.0    296939.0    
  109.0446 6.5908   28.5704  451.44    337.63    -305.8    127.38     268.6        0.1862    299770.0    313080.0    
  110.9621 0.5873   33.0733  -707.4    562.77    910.55    40.77      213.2        0.053611  328539.0    325589.0    
  111.7918 22.3775  48.802   300.27    -868.73   -92.91    235.52     298.3        0.077977  365231.0    367053.0    
  118.0675 25.6497  1.2151   -395.12   -340.14   1254.21   189.09     382.1        0.035454  369667.0    375564.0    
  173.9779 12.3156  24.8695  382.61    651.94    1215.93   81.683     255.9        0.0331    419658.0    418156.0    
  249.9216 27.811   16.0282  -492.9    921.55    324.71    98.683     227.0        0.051736  519173.0    508118.0    
  50.8208  49.7878  45.0593  -899.14   413.0     244.92    85.164     364.8        0.031861  217751.0    795268.0    
  101.0433 91.0886  0.5158   -86.99    -482.61   343.08    289.44     391.4        0.047907  822117.0    807442.0    
  134.8343 69.9566  26.9863  365.86    -1417.79  -39.27    244.49     370.2        0.036856  889202.0    867598.0    
  135.1108 67.4617  27.5581  -326.39   -667.11   -78.14    119.19     317.7        0.019569  880776.0    888570.0    
  225.2051 52.0214  27.7587  1310.05   -76.97    -99.41    486.46     335.1        0.084328  1120548.0   1114289.0   
  0.35     139.054  4.1609   101.41    383.6     -392.47   131.16     382.0        0.030778  1175165.0   1173642.0   
  59.5776  145.3078 25.3162  -128.71   317.06    483.79    77.262     292.1        0.018107  1330098.0   1323768.0   
  62.7253  99.9535  35.6268  -127.38   -45.84    -2.48     169.26     229.8        0.033501  765329.0    1355206.0   
  57.8157  101.1765 37.3251  273.54    317.04    -72.55    368.22     227.9        0.045265  1357316.0   1357731.0   
  174.9643 111.8879 41.2398  -141.7    -510.13   -408.6    279.58     465.3        0.0074977 1578004.0   1578513.0   
  234.4654 115.4808 42.029   368.1     178.29    -315.52   141.99     263.7        0.029182  1674136.0   1679897.0   
  27.1037  182.7538 33.1799  -400.37   272.15    -128.15   88.443     351.6        0.050833  1764406.0   1764355.0   
  27.3114  184.9614 44.5723  624.55    898.89    1382.12   94.381     289.7        0.034298  1774935.0   1783903.0   
  67.5226  199.1086 37.6617  592.83    -807.14   280.42    135.54     342.2        0.058387  1881800.0   1876636.0   
  72.1457  176.9445 36.9381  -76.1     1244.72   178.22    78.647     266.7        0.046728  1871247.0   1880264.0   
  188.2004 166.8142 1.9143   706.06    -834.08   -657.88   96.667     339.4        0.041691  2014170.0   2008985.0   
  241.9319 152.9602 39.605   -198.06   -85.11    -422.09   67.197     313.5        0.048841  2167447.0   2150522.0   
  6.8298   237.3251 6.9795   -167.15   424.82    -419.07   83.63      270.1        0.056515  2198174.0   2206208.0   
  2.5349   203.2291 9.6197   759.51    62.14     -181.24   524.44     523.6        0.019982  2211528.0   2206457.0   
  154.9498 236.2207 15.8994  -841.46   626.33    622.4     206.79     357.3        0.038738  2526008.0   2521603.0   
  170.626  244.2755 18.1237  647.6     306.52    266.03    132.35     354.2        0.069376  2520209.0   2525098.0   
  216.6136 236.4569 1.9828   197.44    18.33     -399.91   75.665     259.9        0.067785  2614160.0   2603421.0   
  211.4089 237.7363 3.7776   350.94    -405.44   72.75     275.79     346.4        0.07674   2614619.0   2607158.0   
  55.6578  48.6428  77.3756  409.25    736.83    -345.12   170.33     275.6        0.038741  2847684.0   2849276.0   
  64.7347  49.8251  79.1681  -371.69   744.54    -73.39    227.05     230.2        0.04682   2847067.0   2861652.0   
  80.2929  46.3918  92.0511  -192.33   87.66     -50.54    259.07     337.3        0.049953  2888572.0   2891683.0   
  95.4596  36.9771  94.4893  -153.97   520.63    -95.84    170.02     348.0        0.04591   2883199.0   2893646.0   
  117.9999 16.0658  56.229   -992.77   227.81    -955.53   39.572     271.0        0.050756  2919504.0   2922740.0   
  151.2326 8.9856   74.3384  374.22    110.48    -101.3    256.31     263.1        0.059057  3064677.0   3064115.0   
